sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
fixed_fractional,equity,HDFCBANK_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,795.900024,800.349976,795.5,800.0,0.0,0.0943,2026-04-21T09:20:00+05:30,801.549988,2026-04-21T09:25:00+05:30,801.810354,795.740844,813.949374,2026-04-21T12:05:00+05:30,795.581696,STOP_LOSS,2.007137,127,102590.46,1.0,791.04,0.0,6155.43,101829.91,0.0,307771.38,per_trade_allocation,fixed_percent_risk,-791.04,60.86,-851.9,-0.8366,-1.0769,33,101331.13
fixed_fractional,equity,ICICIBANK_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,1362.800049,1375.0,1362.199951,1375.0,0.0,0.6722,2026-04-21T10:30:00+05:30,1377.199951,2026-04-21T10:35:00+05:30,1377.475391,1362.527489,1407.371196,2026-04-21T12:05:00+05:30,1362.254983,STOP_LOSS,1.842869,25,102183.03,1.0,380.51,2405.99,6130.98,34436.88,270962.32,306549.09,gross_exposure,fixed_percent_risk,-380.51,20.55,-401.06,-1.1646,-1.054,19,100930.07
fixed_fractional,derivatives,CNXAUTO,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,26511.099609,26694.349609,26496.449219,26661.349609,0.0,0.1309,2026-04-21T10:00:00+05:30,26694.550781,2026-04-21T10:05:00+05:30,26699.538059,26505.797389,27087.019397,2026-04-21T15:20:00+05:30,26620.475621,END_OF_DAY,53.096261,3,102183.03,1.0,597.13,1808.86,6130.98,80098.61,190863.71,306549.09,per_trade_allocation,fixed_percent_risk,-237.19,47.99,-285.18,-0.356,-0.4776,64,100644.89
fixed_fractional,equity,BHARTIARTL_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,1834.400024,1852.300049,1834.400024,1851.699951,0.0,-0.3314,2026-04-21T09:30:00+05:30,1853.699951,2026-04-21T09:35:00+05:30,1854.8709,1834.033144,1896.546411,2026-04-21T15:20:00+05:30,1853.729156,END_OF_DAY,4.750017,48,102590.46,1.0,1017.82,1137.12,6155.43,89033.8,204259.9,307771.38,risk_budget,fixed_percent_risk,-54.8,53.4,-108.21,-0.1215,-0.1063,70,100536.68
fixed_fractional,commodities,NGF,2026-04-21,OPEN_EQUALS_HIGH,SHORT,2026-04-21T09:15:00-04:00,2.677,2.678,2.671,2.677,1114.0,-0.1119,2026-04-21T09:35:00-04:00,2.67,2026-04-21T09:40:00-04:00,2.670466,2.677535,2.656327,2026-04-21T09:50:00-04:00,2.678071,STOP_LOSS,0.008643,37647,100536.68,1.0,286.31,0.0,6032.2,100535.03,0.0,301610.04,per_trade_allocation,fixed_percent_risk,-286.31,60.41,-346.72,-0.3449,-1.211,3,100189.96
fixed_fractional,derivatives,CNXIT,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00+05:30,31050.349609,31050.349609,30669.449219,30819.25,0.0,-2.2150,2026-04-22T10:15:00+05:30,30599.699219,2026-04-22T10:20:00+05:30,30593.180921,31056.559679,29666.423405,2026-04-22T15:20:00+05:30,30503.749921,END_OF_DAY,156.593052,1,100189.96,1.0,469.59,2201.87,6011.4,30593.18,250518.59,300569.88,gross_exposure,fixed_percent_risk,89.43,18.33,71.1,0.2324,0.1514,61,100261.06
fixed_fractional,equity,ICICIBANK_NS,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00+05:30,1379.0,1379.0,1372.900024,1375.599976,0.0,-0.4835,2026-04-22T09:20:00+05:30,1371.300049,2026-04-22T09:25:00+05:30,1371.625644,1379.2758,1356.325333,2026-04-22T15:20:00+05:30,1366.873296,END_OF_DAY,4.300014,73,100189.96,1.0,578.6,0.0,6011.4,100128.67,0.0,300569.88,per_trade_allocation,fixed_percent_risk,346.92,59.97,286.95,0.2866,0.4959,72,100548.01
fixed_fractional,equity,INFY_NS,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00+05:30,1295.0,1295.0,1273.800049,1280.0,0.0,-1.5059,2026-04-22T10:05:00+05:30,1272.0,2026-04-22T10:10:00+05:30,1271.7456,1295.259,1224.7188,2026-04-22T15:20:00+05:30,1267.953491,END_OF_DAY,6.785697,42,100189.96,1.0,998.44,1203.43,6011.4,53413.32,197105.27,300569.88,risk_budget,fixed_percent_risk,159.27,32.0,127.27,0.2383,0.1275,63,100675.28
fixed_fractional,equity,LT_NS,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00+05:30,4065.100098,4065.100098,4048.0,4052.0,0.0,-0.2209,2026-04-22T09:40:00+05:30,4042.5,2026-04-22T09:45:00+05:30,4040.6917,4065.913118,3990.248865,2026-04-22T15:20:00+05:30,4021.203982,END_OF_DAY,7.571429,24,100189.96,1.0,624.83,578.6,6011.4,96976.6,100128.67,300569.88,per_trade_allocation,fixed_percent_risk,467.71,58.05,409.66,0.4224,0.6556,68,101084.94
fixed_fractional,commodities,GCF,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00-04:00,4760.600098,4762.700195,4754.600098,4762.0,842.0,0.5746,2026-04-22T10:30:00-04:00,4754.5,2026-04-22T10:35:00-04:00,4753.948922,4761.552218,4738.742332,2026-04-22T14:45:00-04:00,4762.504528,STOP_LOSS,7.457136,21,101084.94,1.0,179.67,0.0,6065.1,99832.93,0.0,303254.82,per_trade_allocation,fixed_percent_risk,-179.67,59.95,-239.62,-0.24,-1.3337,51,100845.32
fixed_fractional,derivatives,CNXAUTO,2026-04-23,OPEN_EQUALS_HIGH,SHORT,2026-04-23T09:15:00+05:30,26276.199219,26276.199219,26090.599609,26103.050781,0.0,-0.6965,2026-04-23T10:15:00+05:30,26052.300781,2026-04-23T10:20:00+05:30,26049.03915,26281.454459,25584.208533,2026-04-23T15:20:00+05:30,25839.1668,END_OF_DAY,84.981724,3,100845.32,1.0,713.01,0.0,6050.72,78147.12,0.0,302535.96,per_trade_allocation,fixed_percent_risk,629.62,46.7,582.92,0.7459,0.8175,61,101428.24
fixed_fractional,equity,KOTAKBANK_NS,2026-04-23,OPEN_EQUALS_HIGH,SHORT,2026-04-23T09:15:00+05:30,373.450012,373.450012,370.25,373.0,0.0,-0.7706,2026-04-23T10:35:00+05:30,369.850006,2026-04-23T10:40:00+05:30,369.776036,373.524702,362.278704,2026-04-23T15:20:00+05:30,370.774152,END_OF_DAY,1.117859,263,100845.32,1.0,1005.55,713.01,6050.72,97251.1,78147.12,302535.96,risk_budget,fixed_percent_risk,-262.5,58.43,-320.93,-0.33,-0.3192,57,101107.31
fixed_fractional,commodities,NGF,2026-04-23,OPEN_EQUALS_LOW,LONG,2026-04-23T09:15:00-04:00,2.781,2.789,2.781,2.787,2282.0,2.4687,2026-04-23T09:20:00-04:00,2.79,2026-04-23T09:25:00-04:00,2.790558,2.780444,2.810786,2026-04-23T09:40:00-04:00,2.779888,STOP_LOSS,0.012286,36231,101107.31,1.0,386.6,0.0,6066.44,101104.71,0.0,303321.93,per_trade_allocation,fixed_percent_risk,-386.6,60.55,-447.14,-0.4423,-1.1566,4,100660.17
fixed_fractional,commodities,SIF,2026-04-23,OPEN_EQUALS_HIGH,SHORT,2026-04-23T09:15:00-04:00,76.43,76.470001,76.169998,76.199997,480.0,-1.6661,2026-04-23T09:25:00-04:00,76.025002,2026-04-23T09:30:00-04:00,76.009797,76.445286,75.138817,2026-04-23T09:40:00-04:00,76.460575,STOP_LOSS,0.261428,1330,101107.31,1.0,599.54,386.6,6066.44,101093.03,101104.71,303321.93,per_trade_allocation,fixed_percent_risk,-599.54,60.84,-660.37,-0.6532,-1.1015,3,99999.8
fixed_fractional,commodities,GCF,2026-04-23,OPEN_EQUALS_LOW,LONG,2026-04-23T09:15:00-04:00,4742.600098,4747.899902,4742.600098,4743.700195,352.0,-0.3865,2026-04-23T09:35:00-04:00,4748.0,2026-04-23T09:40:00-04:00,4748.9496,4741.651578,4763.545645,2026-04-23T09:55:00-04:00,4740.703247,STOP_LOSS,6.907192,21,99999.8,1.0,173.17,0.0,5999.99,99727.94,0.0,299999.4,per_trade_allocation,fixed_percent_risk,-173.17,59.78,-232.96,-0.2336,-1.3452,4,99766.84
fixed_fractional,commodities,HGF,2026-04-23,OPEN_EQUALS_LOW,LONG,2026-04-23T09:15:00-04:00,6.0635,6.0725,6.0625,6.0725,110.0,-1.2298,2026-04-23T10:15:00-04:00,6.073,2026-04-23T10:20:00-04:00,6.074715,6.062287,6.09957,2026-04-23T11:10:00-04:00,6.09835,TARGET,0.009107,16423,99766.84,1.0,224.01,0.0,5986.01,99765.04,0.0,299300.52,per_trade_allocation,fixed_percent_risk,388.16,59.98,328.19,0.329,1.4651,11,100095.03
fixed_fractional,derivatives,CNXFMCG,2026-04-24,OPEN_EQUALS_HIGH,SHORT,2026-04-24T09:15:00+05:30,51383.300781,51383.300781,50981.148438,51189.25,0.0,0.6090,2026-04-24T09:45:00+05:30,50959.101562,2026-04-24T09:50:00+05:30,50948.456708,51393.577441,50058.215241,2026-04-24T15:20:00+05:30,50789.40585,END_OF_DAY,110.696987,1,100095.03,1.0,455.4,1000.52,6005.7,50948.46,81214.56,300285.09,per_trade_allocation,fixed_percent_risk,159.05,30.52,128.53,0.2523,0.2822,67,100223.56
