period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2023-11,30,0,1,0,210,0,111,99,165,45,0,0,9,20,0,-3812.14,-131.45,-105544.07,-3639.45,-260514.37,2023-11-13,379.88,10299.38,2023-11-06,-489.08,-13964.91,3,6,3812.14,105544.05,0.0000
2023-12,31,0,1,0,177,0,77,100,124,53,0,0,13,17,0,-1525.84,-50.86,-34461.47,-1148.72,-294975.82,2023-12-21,435.59,9978.01,2023-12-18,-539.55,-13023.47,5,6,2911.37,68350.64,0.0000
2024-01,31,0,0,0,224,0,110,114,179,45,0,0,12,19,0,-5406.55,-174.40,-127738.26,-4120.59,-422714.08,2024-01-08,766.38,17431.85,2024-01-25,-1110.00,-27789.23,3,6,5496.31,129839.07,0.0000
2024-02,29,0,2,1,186,1,92,94,136,50,0,0,14,12,0,1562.80,60.11,23485.28,903.28,-399228.82,2024-02-23,1087.24,21197.66,2024-02-22,-1034.17,-20065.57,3,3,1678.82,37806.52,0.0000
2024-03,31,1,2,0,151,0,80,71,108,43,0,0,16,12,0,-205.53,-7.34,-3987.20,-142.40,-403216.03,2024-03-31,927.09,13168.25,2024-03-27,-1349.44,-19205.56,3,4,1992.66,30232.56,0.0000
2024-04,30,0,1,0,169,0,83,86,139,30,0,0,6,23,0,-9018.67,-310.99,-137039.19,-4725.49,-540255.15,2024-04-06,576.51,8495.37,2024-04-26,-1425.63,-22163.06,2,8,9018.67,137039.12,0.0000
2024-05,31,1,0,0,172,1,90,82,128,44,0,0,14,16,0,1043.12,34.77,17249.69,574.99,-523005.41,2024-05-17,1062.67,16106.22,2024-05-31,-650.63,-9523.74,3,3,1165.18,18957.63,0.0000
2024-06,30,0,1,0,200,0,104,96,157,43,0,0,11,18,0,-5274.52,-181.88,-77243.92,-2663.58,-600249.39,2024-06-16,614.12,9238.93,2024-06-06,-1225.09,-17212.94,3,7,5442.82,80011.65,0.0000
2024-07,31,1,4,0,144,0,78,66,110,34,0,0,13,13,0,-2100.12,-80.77,-26623.86,-1023.99,-626873.24,2024-07-27,998.93,14730.00,2024-07-21,-1255.73,-18741.91,3,3,5093.35,77762.37,0.0000
2024-08,31,0,3,0,152,0,82,70,114,38,0,0,15,13,0,-939.50,-33.55,-17297.56,-617.77,-644170.77,2024-08-26,1388.19,21803.20,2024-08-30,-990.49,-16672.71,4,2,1929.34,31362.36,0.0000
2024-09,30,0,3,0,167,0,77,90,119,48,0,0,13,14,0,502.68,18.62,10668.26,395.12,-633502.57,2024-09-27,884.41,13497.62,2024-09-12,-808.24,-14019.75,3,5,2313.65,37625.62,0.0000
2024-10,31,2,1,0,187,1,97,90,132,54,1,0,16,12,0,1094.52,39.09,17898.36,639.23,-615604.17,2024-10-23,991.03,14878.15,2024-10-30,-964.78,-13363.09,5,4,1891.98,29414.41,0.0000
2024-11,30,0,2,0,187,0,95,92,149,38,0,0,12,16,0,-8210.04,-293.22,-85655.92,-3059.14,-701260.03,2024-11-01,911.90,13044.02,2024-11-07,-1503.31,-20065.41,2,3,9726.73,107520.36,0.0000
2024-12,31,0,0,0,187,0,82,105,140,47,0,0,16,15,0,629.83,20.32,6045.55,195.02,-695214.51,2024-12-09,1713.83,17188.92,2024-12-08,-1514.62,-15186.98,4,5,4257.68,42743.90,0.0000
2025-01,31,1,2,0,168,0,84,84,132,36,0,0,11,17,0,-7158.68,-255.67,-70843.50,-2530.13,-766058.02,2025-01-19,1302.27,12438.24,2025-01-18,-1775.20,-17098.01,2,3,7158.68,70843.51,0.0000
2025-02,28,0,3,0,157,0,76,81,120,37,0,0,10,15,0,-271.97,-10.88,-2812.68,-112.51,-768870.63,2025-02-20,1841.90,19070.79,2025-02-18,-1558.56,-16263.18,3,8,4098.66,42520.36,0.0000
2025-03,31,1,2,0,174,0,96,78,134,40,0,0,13,15,0,-597.26,-21.33,-6281.91,-224.35,-775152.58,2025-03-31,1938.44,23516.47,2025-03-17,-1369.02,-16426.08,2,4,4896.85,57084.42,0.0000
2025-04,30,0,0,0,188,0,100,88,145,43,0,0,8,22,0,-5466.19,-182.21,-62525.49,-2084.18,-837678.02,2025-04-25,1571.16,16791.81,2025-04-14,-1567.32,-18544.58,2,6,6198.69,71377.29,0.0000
2025-05,31,1,0,0,191,0,94,97,140,51,0,0,14,16,0,-1372.12,-45.74,-12750.64,-425.02,-850428.70,2025-05-15,1913.06,18597.01,2025-05-12,-2596.55,-24908.12,3,4,6310.61,61348.27,0.0000
2025-06,30,1,0,0,211,0,120,91,162,49,0,0,13,16,0,-7384.71,-254.65,-69510.95,-2396.93,-919939.62,2025-06-25,1825.06,17227.35,2025-06-19,-2689.16,-25686.35,3,4,8250.84,77684.52,0.0000
2025-07,31,1,0,0,204,0,112,92,156,48,0,0,16,14,0,-443.32,-14.78,-2239.53,-74.65,-922179.16,2025-07-23,1911.36,16120.42,2025-07-24,-2142.06,-18046.70,3,4,4693.58,39629.54,0.0000
2025-08,31,0,0,0,194,0,96,98,154,40,0,0,13,18,0,-3230.43,-104.21,-28969.18,-934.49,-951148.38,2025-08-01,1715.49,14832.31,2025-08-20,-1206.64,-10608.64,4,5,6915.48,61168.73,0.0000
2025-09,30,0,1,0,183,0,96,87,135,48,0,0,11,18,0,-1603.21,-55.28,-14986.87,-516.79,-966135.23,2025-09-24,1730.77,15381.05,2025-09-15,-1819.22,-15731.23,3,5,4516.45,39765.98,0.0000
2025-10,31,0,0,0,166,1,93,73,116,49,1,0,14,17,0,-1766.60,-56.99,-13281.65,-428.44,-979416.84,2025-10-01,1194.27,10456.14,2025-10-28,-1557.57,-13573.02,3,4,5228.97,43497.58,0.0000
2025-11,30,0,1,0,182,0,97,85,140,42,0,0,12,17,0,-8531.90,-294.20,-93208.96,-3214.10,-1072625.76,2025-11-16,1120.36,11715.54,2025-11-22,-2645.04,-31383.81,3,4,9775.31,106511.71,0.0000
2025-12,31,0,1,0,168,0,95,73,123,45,0,0,12,18,0,1597.06,53.24,17938.73,597.96,-1054687.05,2025-12-11,1086.03,11872.55,2025-12-21,-1556.18,-17634.57,3,5,2949.06,33381.03,0.0000
2026-01,31,0,0,0,189,0,94,95,139,50,0,0,15,16,0,-471.69,-15.22,-5054.43,-163.05,-1059741.43,2026-01-25,1873.45,21063.60,2026-01-23,-1701.88,-19049.14,3,5,2661.29,29199.02,0.0000
2026-02,28,0,2,0,132,0,67,65,95,37,0,0,14,12,0,2760.52,106.17,36055.23,1386.74,-1023686.23,2026-02-23,1107.83,16562.16,2026-02-11,-873.28,-12781.11,4,4,2799.51,40521.67,0.0000
2026-03,31,0,2,0,162,0,90,72,124,38,0,0,16,13,0,-1407.85,-48.55,-20234.95,-697.76,-1043921.20,2026-03-11,1091.03,15567.33,2026-03-31,-1221.12,-18225.58,4,4,3064.12,43905.59,0.0000
2026-04,30,0,0,0,182,0,82,100,142,40,0,0,14,16,0,-2185.40,-72.85,-31581.73,-1052.72,-1075502.94,2026-04-28,1335.22,17308.42,2026-04-03,-960.29,-14364.71,4,4,4962.26,68163.65,0.0000
2026-05,10,0,0,0,50,1,28,22,32,17,0,1,6,4,0,2054.35,205.44,26095.54,2609.55,-1049407.40,2026-05-07,1019.58,12547.94,2026-05-08,-673.55,-8426.98,3,1,673.55,8426.98,0.0000
