date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2022-03-21,TRADED,13,0,6,7,12,1,0,0,1,12,0,-746.21,-57.40,316.79,-205.45,-18167.56,-1397.50,7644.20,-4996.58,332024.93,1,12,1063.00,25811.78,7.2133,
2022-03-22,TRADED,5,0,4,1,3,2,0,0,2,3,0,180.73,36.15,212.72,-93.55,4288.78,857.76,5162.57,-2280.71,336313.71,2,3,167.22,4070.57,1.2260,
2022-03-23,TRADED,8,0,3,5,7,1,0,0,1,7,0,-369.93,-46.24,217.65,-135.46,-8739.69,-1092.46,5130.81,-3183.11,327574.03,1,5,369.93,8739.68,2.5987,
2022-03-24,TRADED,2,0,2,0,1,1,0,0,1,1,0,165.53,82.77,279.79,-114.26,3929.50,1964.75,6596.85,-2667.35,331503.52,1,1,114.26,2667.35,0.7982,
2022-03-25,TRADED,5,0,4,1,5,0,0,0,0,5,0,-674.63,-134.93,-25.34,-192.56,-15245.47,-3049.09,-573.83,-4382.90,316258.06,0,5,674.63,15245.46,4.5989,
2022-03-26,TRADED,16,0,10,6,16,0,0,0,0,16,0,-884.27,-55.27,-0.74,-195.44,-19898.53,-1243.66,-16.73,-4382.44,296359.51,0,16,884.27,19898.55,6.2919,
2022-03-27,TRADED,7,0,5,2,4,3,0,0,3,4,0,503.96,71.99,421.64,-83.78,11248.62,1606.95,9397.02,-1878.34,307608.15,1,2,174.92,3923.57,1.2986,
2022-03-28,HELD,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,307608.15,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2022-03-29,TRADED,15,0,9,6,11,4,0,0,4,11,0,-853.05,-56.87,330.79,-236.62,-17934.95,-1195.66,6969.28,-4974.75,289673.22,2,7,1072.70,22578.46,7.3400,
2022-03-30,TRADED,12,0,1,11,8,4,0,0,4,8,0,46.42,3.87,392.35,-206.99,935.10,77.93,8285.39,-4391.23,290608.31,2,4,492.63,10441.82,3.4685,
2022-03-31,TRADED,9,0,4,5,9,0,0,0,0,9,0,-918.10,-102.01,-24.95,-220.76,-19417.22,-2157.47,-528.92,-4655.19,271191.09,0,9,918.10,19417.22,6.6816,
