trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,holding_days,remarks
T00040,2025-05-20,2025-05-20,2025-05-20,2025-05-20 08:30:00+00:00,2025-05-20 09:00:00+00:00,LONG,105256.88,104931.32,2025-05-20 10:30:00+00:00,2025-05-20 11:00:00+00:00,105067.11,stop_loss_ma_touch,105067.11,-189.77,0,
T00041,2025-05-20,2025-05-20,2025-05-20,2025-05-20 10:30:00+00:00,2025-05-20 11:00:00+00:00,SHORT,105052.06,105110.87,2025-05-20 11:00:00+00:00,2025-05-20 11:30:00+00:00,105110.87,stop_loss_ma_touch,105110.87,-58.81,0,
T00042,2025-05-20,2025-05-20,2025-05-20,2025-05-20 11:00:00+00:00,2025-05-20 11:30:00+00:00,LONG,105174.38,105154.61,2025-05-20 12:00:00+00:00,2025-05-20 12:30:00+00:00,105201.75,stop_loss_ma_touch,105201.75,27.37,0,
T00043,2025-05-20,2025-05-20,2025-05-20,2025-05-20 12:00:00+00:00,2025-05-20 12:30:00+00:00,SHORT,104852.69,105248.47,2025-05-20 15:30:00+00:00,2025-05-20 16:00:00+00:00,105408.59,stop_loss_ma_touch,105408.59,-555.90,0,
T00044,2025-05-20,2025-05-20,2025-05-20,2025-05-20 15:30:00+00:00,2025-05-20 16:00:00+00:00,SHORT,105379.12,105420.19,2025-05-20 16:00:00+00:00,2025-05-20 16:30:00+00:00,105420.19,stop_loss_ma_touch,105420.19,-41.07,0,
T00045,2025-05-20,2025-05-20,2025-05-20,2025-05-20 16:00:00+00:00,2025-05-20 16:30:00+00:00,SHORT,105293.04,105423.29,2025-05-20 16:30:00+00:00,2025-05-20 17:00:00+00:00,105423.29,stop_loss_ma_touch,105423.29,-130.25,0,
T00046,2025-05-20,2025-05-20,2025-05-20,2025-05-20 16:30:00+00:00,2025-05-20 17:00:00+00:00,SHORT,105242.22,105420.03,2025-05-20 17:00:00+00:00,2025-05-20 17:30:00+00:00,105420.03,stop_loss_ma_touch,105420.03,-177.81,0,
T00047,2025-05-20,2025-05-20,2025-05-20,2025-05-20 17:00:00+00:00,2025-05-20 17:30:00+00:00,LONG,106183.57,105439.39,2025-05-20 18:30:00+00:00,2025-05-20 19:00:00+00:00,105470.24,stop_loss_ma_touch,105470.24,-713.33,0,
T00048,2025-05-20,2025-05-20,2025-05-20,2025-05-20 18:30:00+00:00,2025-05-20 19:00:00+00:00,SHORT,105314.65,105480.72,2025-05-20 19:00:00+00:00,2025-05-20 19:30:00+00:00,105480.72,stop_loss_ma_touch,105480.72,-166.07,0,
T00049,2025-05-21,2025-05-20,2025-05-21,2025-05-20 19:00:00+00:00,2025-05-20 19:30:00+00:00,LONG,106352.04,105510.07,2025-05-20 23:30:00+00:00,2025-05-21 00:00:00+00:00,106883.24,end_of_data,105751.47,531.20,1,
