trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,holding_days,remarks
T00038,2025-05-18,2025-05-18,2025-05-18,2025-05-18 19:00:00+00:00,2025-05-18 20:00:00+00:00,SHORT,103925.72,103964.59,2025-05-18 20:00:00+00:00,2025-05-18 21:00:00+00:00,103964.59,stop_loss_ma_touch,103964.59,-38.87,0,
T00039,2025-05-18,2025-05-18,2025-05-18,2025-05-18 20:00:00+00:00,2025-05-18 21:00:00+00:00,LONG,104112.36,103993.98,2025-05-18 22:00:00+00:00,2025-05-18 23:00:00+00:00,104033.31,stop_loss_ma_touch,104033.31,-79.05,0,
T00040,2025-05-19,2025-05-18,2025-05-19,2025-05-18 22:00:00+00:00,2025-05-18 23:00:00+00:00,LONG,105971.10,104154.04,2025-05-19 03:00:00+00:00,2025-05-19 04:00:00+00:00,104497.38,stop_loss_ma_touch,104497.38,-1473.72,1,
T00041,2025-05-19,2025-05-19,2025-05-19,2025-05-19 03:00:00+00:00,2025-05-19 04:00:00+00:00,SHORT,103634.83,104510.45,2025-05-19 14:00:00+00:00,2025-05-19 15:00:00+00:00,104130.33,stop_loss_ma_touch,104130.33,-495.50,0,
T00042,2025-05-20,2025-05-19,2025-05-20,2025-05-19 14:00:00+00:00,2025-05-19 15:00:00+00:00,LONG,104367.08,104091.88,2025-05-20 08:00:00+00:00,2025-05-20 09:00:00+00:00,104906.45,stop_loss_ma_touch,104906.45,539.37,1,
T00043,2025-05-20,2025-05-20,2025-05-20,2025-05-20 08:00:00+00:00,2025-05-20 09:00:00+00:00,LONG,105256.88,104989.23,2025-05-20 10:00:00+00:00,2025-05-20 11:00:00+00:00,105081.87,stop_loss_ma_touch,105081.87,-175.01,0,
T00044,2025-05-20,2025-05-20,2025-05-20,2025-05-20 10:00:00+00:00,2025-05-20 11:00:00+00:00,SHORT,105052.06,105169.39,2025-05-20 11:00:00+00:00,2025-05-20 12:00:00+00:00,105169.39,stop_loss_ma_touch,105169.39,-117.33,0,
T00045,2025-05-20,2025-05-20,2025-05-20,2025-05-20 11:00:00+00:00,2025-05-20 12:00:00+00:00,SHORT,105241.60,105263.66,2025-05-20 15:00:00+00:00,2025-05-20 16:00:00+00:00,105416.30,stop_loss_ma_touch,105416.30,-174.70,0,
T00046,2025-05-20,2025-05-20,2025-05-20,2025-05-20 15:00:00+00:00,2025-05-20 16:00:00+00:00,SHORT,105379.12,105439.49,2025-05-20 16:00:00+00:00,2025-05-20 17:00:00+00:00,105439.49,stop_loss_ma_touch,105439.49,-60.37,0,
T00047,2025-05-20,2025-05-20,2025-05-20,2025-05-20 16:00:00+00:00,2025-05-20 17:00:00+00:00,SHORT,105242.22,105432.96,2025-05-20 17:00:00+00:00,2025-05-20 18:00:00+00:00,105432.96,stop_loss_ma_touch,105432.96,-190.74,0,
T00048,2025-05-20,2025-05-20,2025-05-20,2025-05-20 17:00:00+00:00,2025-05-20 18:00:00+00:00,LONG,106249.57,105468.36,2025-05-20 18:00:00+00:00,2025-05-20 19:00:00+00:00,105468.36,stop_loss_ma_touch,105468.36,-781.21,0,
T00049,2025-05-20,2025-05-20,2025-05-20,2025-05-20 18:00:00+00:00,2025-05-20 19:00:00+00:00,SHORT,105314.65,105489.32,2025-05-20 19:00:00+00:00,2025-05-20 20:00:00+00:00,105489.32,stop_loss_ma_touch,105489.32,-174.67,0,
T00050,2025-05-21,2025-05-20,2025-05-21,2025-05-20 19:00:00+00:00,2025-05-20 20:00:00+00:00,LONG,107086.17,105553.07,2025-05-21 09:00:00+00:00,2025-05-21 10:00:00+00:00,106202.30,stop_loss_ma_touch,106202.30,-883.87,1,
T00051,2025-05-21,2025-05-21,2025-05-21,2025-05-21 09:00:00+00:00,2025-05-21 10:00:00+00:00,SHORT,106239.23,106240.80,2025-05-21 10:00:00+00:00,2025-05-21 11:00:00+00:00,106240.80,stop_loss_ma_touch,106240.80,-1.57,0,
T00052,2025-05-21,2025-05-21,2025-05-21,2025-05-21 10:00:00+00:00,2025-05-21 11:00:00+00:00,LONG,106374.18,106295.89,2025-05-21 13:00:00+00:00,2025-05-21 14:00:00+00:00,106427.70,stop_loss_ma_touch,106427.70,53.52,0,
T00053,2025-05-21,2025-05-21,2025-05-21,2025-05-21 13:00:00+00:00,2025-05-21 14:00:00+00:00,LONG,107317.95,106546.04,2025-05-21 17:00:00+00:00,2025-05-21 18:00:00+00:00,107050.93,stop_loss_ma_touch,107050.93,-267.02,0,
T00054,2025-05-21,2025-05-21,2025-05-21,2025-05-21 17:00:00+00:00,2025-05-21 18:00:00+00:00,SHORT,106649.54,107067.60,2025-05-21 18:00:00+00:00,2025-05-21 19:00:00+00:00,107067.60,stop_loss_ma_touch,107067.60,-418.06,0,
T00055,2025-05-21,2025-05-21,2025-05-21,2025-05-21 18:00:00+00:00,2025-05-21 19:00:00+00:00,SHORT,107019.17,107138.62,2025-05-21 19:00:00+00:00,2025-05-21 20:00:00+00:00,107138.62,stop_loss_ma_touch,107138.62,-119.45,0,
T00056,2025-05-23,2025-05-21,2025-05-23,2025-05-21 19:00:00+00:00,2025-05-21 20:00:00+00:00,LONG,108675.07,107204.82,2025-05-23 03:00:00+00:00,2025-05-23 04:00:00+00:00,111190.41,stop_loss_ma_touch,111190.41,2515.34,2,
T00057,2025-05-23,2025-05-23,2025-05-23,2025-05-23 03:00:00+00:00,2025-05-23 04:00:00+00:00,SHORT,111100.87,111161.03,2025-05-23 04:00:00+00:00,2025-05-23 05:00:00+00:00,111161.03,stop_loss_ma_touch,111161.03,-60.16,0,
T00058,2025-05-23,2025-05-23,2025-05-23,2025-05-23 04:00:00+00:00,2025-05-23 05:00:00+00:00,SHORT,110850.70,111134.16,2025-05-23 09:00:00+00:00,2025-05-23 10:00:00+00:00,111136.52,stop_loss_ma_touch,111136.52,-285.82,0,
T00059,2025-05-23,2025-05-23,2025-05-23,2025-05-23 09:00:00+00:00,2025-05-23 10:00:00+00:00,LONG,111321.16,111156.97,2025-05-23 10:00:00+00:00,2025-05-23 11:00:00+00:00,111156.97,stop_loss_ma_touch,111156.97,-164.19,0,
T00060,2025-05-24,2025-05-23,2025-05-24,2025-05-23 10:00:00+00:00,2025-05-23 11:00:00+00:00,SHORT,111048.84,111167.58,2025-05-24 10:00:00+00:00,2025-05-24 11:00:00+00:00,108530.68,stop_loss_ma_touch,108530.68,2518.16,1,
T00061,2025-05-24,2025-05-24,2025-05-24,2025-05-24 10:00:00+00:00,2025-05-24 11:00:00+00:00,LONG,109123.57,108450.46,2025-05-24 22:00:00+00:00,2025-05-24 23:00:00+00:00,108434.47,stop_loss_ma_touch,108434.47,-689.10,0,
T00062,2025-05-25,2025-05-24,2025-05-25,2025-05-24 22:00:00+00:00,2025-05-24 23:00:00+00:00,SHORT,108115.92,108446.86,2025-05-25 19:00:00+00:00,2025-05-25 20:00:00+00:00,107757.98,stop_loss_ma_touch,107757.98,357.94,1,
T00063,2025-05-25,2025-05-25,2025-05-25,2025-05-25 19:00:00+00:00,2025-05-25 20:00:00+00:00,LONG,107745.28,107706.17,2025-05-25 20:00:00+00:00,2025-05-25 21:00:00+00:00,107706.17,stop_loss_ma_touch,107706.17,-39.11,0,
T00064,2025-05-25,2025-05-25,2025-05-25,2025-05-25 20:00:00+00:00,2025-05-25 21:00:00+00:00,LONG,107701.14,107656.62,2025-05-25 21:00:00+00:00,2025-05-25 22:00:00+00:00,107656.62,stop_loss_ma_touch,107656.62,-44.52,0,
T00065,2025-05-25,2025-05-25,2025-05-25,2025-05-25 21:00:00+00:00,2025-05-25 22:00:00+00:00,SHORT,107495.37,107600.27,2025-05-25 22:00:00+00:00,2025-05-25 23:00:00+00:00,107600.27,stop_loss_ma_touch,107600.27,-104.90,0,
T00066,2025-05-26,2025-05-25,2025-05-26,2025-05-25 22:00:00+00:00,2025-05-25 23:00:00+00:00,LONG,109213.28,107645.99,2025-05-26 16:00:00+00:00,2025-05-26 17:00:00+00:00,109139.56,stop_loss_ma_touch,109139.56,-73.72,1,
T00067,2025-05-26,2025-05-26,2025-05-26,2025-05-26 16:00:00+00:00,2025-05-26 17:00:00+00:00,LONG,109429.17,109231.38,2025-05-26 17:00:00+00:00,2025-05-26 18:00:00+00:00,109231.38,stop_loss_ma_touch,109231.38,-197.79,0,
T00068,2025-05-26,2025-05-26,2025-05-26,2025-05-26 17:00:00+00:00,2025-05-26 18:00:00+00:00,SHORT,109217.50,109306.59,2025-05-26 18:00:00+00:00,2025-05-26 19:00:00+00:00,109306.59,stop_loss_ma_touch,109306.59,-89.09,0,
T00069,2025-05-26,2025-05-26,2025-05-26,2025-05-26 18:00:00+00:00,2025-05-26 19:00:00+00:00,SHORT,109130.60,109376.66,2025-05-26 20:00:00+00:00,2025-05-26 21:00:00+00:00,109435.50,stop_loss_ma_touch,109435.50,-304.90,0,
T00070,2025-05-26,2025-05-26,2025-05-26,2025-05-26 20:00:00+00:00,2025-05-26 21:00:00+00:00,LONG,109623.61,109515.61,2025-05-26 21:00:00+00:00,2025-05-26 22:00:00+00:00,109515.61,stop_loss_ma_touch,109515.61,-108.00,0,
T00071,2025-05-26,2025-05-26,2025-05-26,2025-05-26 21:00:00+00:00,2025-05-26 22:00:00+00:00,SHORT,109382.42,109594.23,2025-05-26 22:00:00+00:00,2025-05-26 23:00:00+00:00,109594.23,stop_loss_ma_touch,109594.23,-211.81,0,
T00072,2025-05-27,2025-05-26,2025-05-27,2025-05-26 22:00:00+00:00,2025-05-26 23:00:00+00:00,SHORT,109229.05,109594.89,2025-05-27 00:00:00+00:00,2025-05-27 01:00:00+00:00,109612.21,stop_loss_ma_touch,109612.21,-383.16,1,
T00073,2025-05-27,2025-05-27,2025-05-27,2025-05-27 00:00:00+00:00,2025-05-27 01:00:00+00:00,SHORT,109181.09,109595.03,2025-05-27 07:00:00+00:00,2025-05-27 08:00:00+00:00,109363.89,stop_loss_ma_touch,109363.89,-182.80,0,
T00074,2025-05-27,2025-05-27,2025-05-27,2025-05-27 07:00:00+00:00,2025-05-27 08:00:00+00:00,LONG,109566.99,109339.35,2025-05-27 14:00:00+00:00,2025-05-27 15:00:00+00:00,109338.87,stop_loss_ma_touch,109338.87,-228.12,0,
T00075,2025-05-27,2025-05-27,2025-05-27,2025-05-27 14:00:00+00:00,2025-05-27 15:00:00+00:00,LONG,109426.54,109327.21,2025-05-27 15:00:00+00:00,2025-05-27 16:00:00+00:00,109327.21,stop_loss_ma_touch,109327.21,-99.33,0,
T00076,2025-05-27,2025-05-27,2025-05-27,2025-05-27 15:00:00+00:00,2025-05-27 16:00:00+00:00,LONG,110200.00,109333.57,2025-05-27 21:00:00+00:00,2025-05-27 22:00:00+00:00,109478.67,stop_loss_ma_touch,109478.67,-721.33,0,
T00077,2025-05-29,2025-05-27,2025-05-29,2025-05-27 21:00:00+00:00,2025-05-27 22:00:00+00:00,SHORT,108978.63,109461.84,2025-05-29 00:00:00+00:00,2025-05-29 01:00:00+00:00,108271.08,stop_loss_ma_touch,108271.08,707.55,2,
T00078,2025-05-29,2025-05-29,2025-05-29,2025-05-29 00:00:00+00:00,2025-05-29 01:00:00+00:00,LONG,108306.97,108231.57,2025-05-29 01:00:00+00:00,2025-05-29 02:00:00+00:00,108231.57,stop_loss_ma_touch,108231.57,-75.40,0,
T00079,2025-05-29,2025-05-29,2025-05-29,2025-05-29 01:00:00+00:00,2025-05-29 02:00:00+00:00,SHORT,108202.33,108209.70,2025-05-29 02:00:00+00:00,2025-05-29 03:00:00+00:00,108209.70,stop_loss_ma_touch,108209.70,-7.37,0,
T00080,2025-05-29,2025-05-29,2025-05-29,2025-05-29 02:00:00+00:00,2025-05-29 03:00:00+00:00,LONG,108468.01,108201.40,2025-05-29 03:00:00+00:00,2025-05-29 04:00:00+00:00,108201.40,stop_loss_ma_touch,108201.40,-266.61,0,
T00081,2025-05-29,2025-05-29,2025-05-29,2025-05-29 03:00:00+00:00,2025-05-29 04:00:00+00:00,SHORT,108092.72,108167.28,2025-05-29 07:00:00+00:00,2025-05-29 08:00:00+00:00,108018.89,stop_loss_ma_touch,108018.89,73.83,0,
