date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2025-07-06,TRADED,8,0,4,4,8,0,0,0,8,0,-493.87,-61.73,-13.63,-101.82,0,8,493.87,
2025-07-07,TRADED,3,0,2,1,3,0,0,1,2,0,224.25,74.75,480.34,-247.03,1,2,256.09,
2025-07-08,TRADED,4,0,3,1,4,0,0,1,3,0,106.51,26.63,407.87,-247.12,1,3,301.36,
2025-07-09,TRADED,9,0,5,4,9,0,0,1,8,0,-615.34,-68.37,180.89,-303.23,1,8,796.23,
2025-07-10,TRADED,2,0,2,0,2,0,0,1,1,0,1491.48,745.74,1598.31,-106.83,1,1,106.83,
2025-07-11,TRADED,1,0,1,0,1,0,0,1,0,0,6057.05,6057.05,6057.05,6057.05,1,0,0.00,
2025-07-12,TRADED,12,0,7,5,12,0,0,0,12,0,-1139.00,-94.92,-16.51,-204.41,0,12,1139.00,
2025-07-13,TRADED,2,0,0,2,2,0,0,0,2,0,-229.98,-114.99,-32.61,-197.37,0,2,229.98,
2025-07-14,TRADED,2,0,1,1,2,0,0,1,1,0,2097.41,1048.70,2765.70,-668.29,1,1,668.29,
2025-07-15,TRADED,2,0,1,1,2,0,0,1,1,0,2229.45,1114.73,2350.19,-120.74,1,1,120.74,
2025-07-16,TRADED,1,0,1,0,1,0,0,0,1,0,-666.33,-666.33,-666.33,-666.33,0,1,666.33,
2025-07-17,TRADED,10,0,6,4,10,0,0,1,9,0,-1038.42,-103.84,1294.42,-687.15,1,9,2332.84,
2025-07-18,TRADED,2,0,1,1,2,0,0,0,2,0,-915.08,-457.54,-131.96,-783.12,0,2,915.08,
2025-07-19,TRADED,11,0,3,8,11,0,0,1,10,0,59.74,5.43,1145.07,-286.98,1,10,1085.33,
2025-07-20,TRADED,12,0,4,8,12,0,0,0,12,0,-1143.36,-95.28,-11.80,-349.65,0,12,1143.36,
2025-07-21,TRADED,6,0,3,3,6,0,0,2,4,0,-853.57,-142.26,50.57,-555.28,2,4,922.46,
2025-07-22,TRADED,3,0,2,1,3,0,0,0,3,0,-826.68,-275.56,-50.85,-519.65,0,3,826.68,
2025-07-23,TRADED,4,0,2,2,4,0,0,1,3,0,-441.84,-110.46,83.48,-263.89,1,3,525.32,
2025-07-24,TRADED,12,0,9,3,12,0,0,1,11,0,-2624.56,-218.71,56.04,-638.16,1,10,2624.56,
2025-07-25,TRADED,1,0,0,1,1,0,0,1,0,0,1742.35,1742.35,1742.35,1742.35,1,0,0.00,
2025-07-26,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-07-27,TRADED,5,0,3,2,5,0,0,1,4,0,1111.67,222.33,1365.32,-126.44,1,4,253.65,
2025-07-28,TRADED,6,0,2,4,6,0,0,1,5,0,-36.66,-6.11,606.61,-257.94,1,5,643.27,
2025-07-29,TRADED,5,0,4,1,5,0,0,0,5,0,-857.37,-171.47,-7.56,-328.79,0,5,857.37,
2025-07-30,TRADED,13,0,7,6,13,0,0,0,13,0,-2938.37,-226.03,-6.60,-853.01,0,13,2938.37,
2025-07-31,TRADED,6,0,4,2,6,0,0,0,6,0,-2490.12,-415.02,-33.81,-1299.96,0,6,2490.12,
2025-08-01,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-08-02,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-08-03,TRADED,1,0,0,1,1,0,0,1,0,0,4478.81,4478.81,4478.81,4478.81,1,0,0.00,
2025-08-04,TRADED,6,0,5,1,6,0,0,1,5,0,-40.00,-6.67,679.07,-294.66,1,5,719.07,
2025-08-05,TRADED,5,0,2,3,5,0,0,1,4,0,-162.74,-32.55,48.57,-107.45,1,2,162.74,
2025-08-06,TRADED,6,0,4,2,6,0,0,1,5,0,-802.71,-133.78,9.27,-281.01,1,3,802.71,
2025-08-07,TRADED,5,0,1,4,5,0,0,1,4,0,-187.24,-37.45,309.97,-334.20,1,4,497.21,
2025-08-08,TRADED,12,0,7,5,12,0,0,1,11,0,-263.28,-21.94,1695.30,-331.78,1,11,1958.58,
2025-08-09,TRADED,9,0,4,5,9,0,0,1,8,0,-702.67,-78.07,98.49,-162.17,1,5,702.67,
2025-08-10,TRADED,3,0,0,3,3,0,0,0,3,0,-437.84,-145.95,-16.32,-236.21,0,3,437.84,
2025-08-11,TRADED,5,0,3,2,5,0,0,1,4,0,1986.37,397.27,2668.01,-422.01,1,4,681.64,
2025-08-12,TRADED,3,0,1,2,3,0,0,1,2,0,431.55,143.85,800.10,-227.07,1,2,368.55,
