trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00038,2025-05-17,2025-05-17,2025-05-17,2025-05-17 23:15:00+00:00,2025-05-17 23:30:00+00:00,SHORT,103195.57,103204.32,2025-05-17 23:30:00+00:00,2025-05-17 23:45:00+00:00,103204.32,stop_loss_ma_touch,103204.32,-8.75,9.69033845,1000000.00,1000084.79,-84.79,-0.0085,-20436.67,979563.33,0,
T00039,2025-05-18,2025-05-17,2025-05-18,2025-05-17 23:30:00+00:00,2025-05-17 23:45:00+00:00,SHORT,103192.00,103200.58,2025-05-17 23:45:00+00:00,2025-05-18 00:00:00+00:00,103200.58,stop_loss_ma_touch,103200.58,-8.58,9.69067370,1000000.00,1000083.15,-83.15,-0.0083,-20519.82,979480.18,1,
T00040,2025-05-18,2025-05-18,2025-05-18,2025-05-17 23:45:00+00:00,2025-05-18 00:00:00+00:00,SHORT,103161.07,103197.05,2025-05-18 00:00:00+00:00,2025-05-18 00:15:00+00:00,103197.05,stop_loss_ma_touch,103197.05,-35.98,9.69357918,1000000.00,1000348.77,-348.77,-0.0349,-20868.60,979131.40,0,
T00041,2025-05-18,2025-05-18,2025-05-18,2025-05-18 00:00:00+00:00,2025-05-18 00:15:00+00:00,LONG,103264.95,103193.91,2025-05-18 00:15:00+00:00,2025-05-18 00:30:00+00:00,103193.91,stop_loss_ma_touch,103193.91,-71.04,9.68382786,1000000.00,999312.06,-687.94,-0.0688,-21556.53,978443.47,0,
T00042,2025-05-18,2025-05-18,2025-05-18,2025-05-18 00:15:00+00:00,2025-05-18 00:30:00+00:00,LONG,103299.20,103193.71,2025-05-18 01:45:00+00:00,2025-05-18 02:00:00+00:00,103202.92,stop_loss_ma_touch,103202.92,-96.28,9.68061708,1000000.00,999067.95,-932.05,-0.0932,-22488.58,977511.42,0,
T00043,2025-05-18,2025-05-18,2025-05-18,2025-05-18 01:45:00+00:00,2025-05-18 02:00:00+00:00,LONG,103296.14,103207.45,2025-05-18 03:15:00+00:00,2025-05-18 03:30:00+00:00,103215.79,stop_loss_ma_touch,103215.79,-80.35,9.68090386,1000000.00,999222.14,-777.86,-0.0778,-23266.44,976733.56,0,
T00044,2025-05-18,2025-05-18,2025-05-18,2025-05-18 03:15:00+00:00,2025-05-18 03:30:00+00:00,SHORT,103161.01,103214.16,2025-05-18 03:30:00+00:00,2025-05-18 03:45:00+00:00,103214.16,stop_loss_ma_touch,103214.16,-53.15,9.69358481,1000000.00,1000515.21,-515.21,-0.0515,-23781.66,976218.34,0,
T00045,2025-05-18,2025-05-18,2025-05-18,2025-05-18 03:30:00+00:00,2025-05-18 03:45:00+00:00,LONG,103320.73,103212.40,2025-05-18 19:45:00+00:00,2025-05-18 20:00:00+00:00,103922.03,stop_loss_ma_touch,103922.03,601.30,9.67859983,1000000.00,1005819.74,5819.74,0.5820,-17961.92,982038.08,0,
T00046,2025-05-18,2025-05-18,2025-05-18,2025-05-18 19:45:00+00:00,2025-05-18 20:00:00+00:00,SHORT,103925.72,103929.71,2025-05-18 20:15:00+00:00,2025-05-18 20:30:00+00:00,103935.69,stop_loss_ma_touch,103935.69,-9.97,9.62225713,1000000.00,1000095.93,-95.93,-0.0096,-18057.85,981942.15,0,
T00047,2025-05-18,2025-05-18,2025-05-18,2025-05-18 20:15:00+00:00,2025-05-18 20:30:00+00:00,LONG,103972.47,103943.57,2025-05-18 20:30:00+00:00,2025-05-18 20:45:00+00:00,103943.57,stop_loss_ma_touch,103943.57,-28.90,9.61793059,1000000.00,999722.04,-277.96,-0.0278,-18335.81,981664.19,0,
T00048,2025-05-18,2025-05-18,2025-05-18,2025-05-18 20:30:00+00:00,2025-05-18 20:45:00+00:00,LONG,104200.87,103953.15,2025-05-18 22:00:00+00:00,2025-05-18 22:15:00+00:00,104003.64,stop_loss_ma_touch,104003.64,-197.23,9.59684886,1000000.00,998107.21,-1892.79,-0.1893,-20228.60,979771.40,0,
T00049,2025-05-19,2025-05-18,2025-05-19,2025-05-18 22:00:00+00:00,2025-05-18 22:15:00+00:00,LONG,104142.30,104015.13,2025-05-19 03:00:00+00:00,2025-05-19 03:15:00+00:00,104447.45,stop_loss_ma_touch,104447.45,305.15,9.60224616,1000000.00,1002930.13,2930.13,0.2930,-17298.47,982701.53,1,
T00050,2025-05-19,2025-05-19,2025-05-19,2025-05-19 03:00:00+00:00,2025-05-19 03:15:00+00:00,SHORT,104183.58,104457.16,2025-05-19 14:45:00+00:00,2025-05-19 15:00:00+00:00,104087.80,stop_loss_ma_touch,104087.80,95.78,9.59844152,1000000.00,999080.66,919.34,0.0919,-16379.13,983620.87,0,
T00051,2025-05-20,2025-05-19,2025-05-20,2025-05-19 14:45:00+00:00,2025-05-19 15:00:00+00:00,LONG,104367.08,104078.18,2025-05-20 08:30:00+00:00,2025-05-20 08:45:00+00:00,104873.93,stop_loss_ma_touch,104873.93,506.85,9.58156537,1000000.00,1004856.42,4856.42,0.4856,-11522.71,988477.29,1,
T00052,2025-05-20,2025-05-20,2025-05-20,2025-05-20 08:30:00+00:00,2025-05-20 08:45:00+00:00,LONG,105188.15,104896.67,2025-05-20 10:45:00+00:00,2025-05-20 11:00:00+00:00,105077.05,stop_loss_ma_touch,105077.05,-111.10,9.50677429,1000000.00,998943.80,-1056.20,-0.1056,-12578.92,987421.08,0,
T00053,2025-05-20,2025-05-20,2025-05-20,2025-05-20 10:45:00+00:00,2025-05-20 11:00:00+00:00,SHORT,105052.06,105098.93,2025-05-20 11:15:00+00:00,2025-05-20 11:30:00+00:00,105121.47,stop_loss_ma_touch,105121.47,-69.41,9.51908987,1000000.00,1000660.72,-660.72,-0.0661,-13239.64,986760.36,0,
T00054,2025-05-20,2025-05-20,2025-05-20,2025-05-20 11:15:00+00:00,2025-05-20 11:30:00+00:00,LONG,105174.38,105143.34,2025-05-20 12:00:00+00:00,2025-05-20 12:15:00+00:00,105190.88,stop_loss_ma_touch,105190.88,16.50,9.50801897,1000000.00,1000156.88,156.88,0.0157,-13082.76,986917.24,0,
T00055,2025-05-20,2025-05-20,2025-05-20,2025-05-20 12:00:00+00:00,2025-05-20 12:15:00+00:00,SHORT,105063.89,105215.70,2025-05-20 15:45:00+00:00,2025-05-20 16:00:00+00:00,105406.10,stop_loss_ma_touch,105406.10,-342.21,9.51801804,1000000.00,1003257.16,-3257.16,-0.3257,-16339.92,983660.08,0,
T00056,2025-05-20,2025-05-20,2025-05-20,2025-05-20 15:45:00+00:00,2025-05-20 16:00:00+00:00,SHORT,105379.12,105411.90,2025-05-20 16:00:00+00:00,2025-05-20 16:15:00+00:00,105411.90,stop_loss_ma_touch,105411.90,-32.78,9.48954594,1000000.00,1000311.07,-311.07,-0.0311,-16650.98,983349.02,0,
T00057,2025-05-20,2025-05-20,2025-05-20,2025-05-20 16:00:00+00:00,2025-05-20 16:15:00+00:00,SHORT,105191.13,105417.90,2025-05-20 16:15:00+00:00,2025-05-20 16:30:00+00:00,105417.90,stop_loss_ma_touch,105417.90,-226.77,9.50650497,1000000.00,1002155.79,-2155.79,-0.2156,-18806.77,981193.23,0,
T00058,2025-05-20,2025-05-20,2025-05-20,2025-05-20 16:15:00+00:00,2025-05-20 16:30:00+00:00,SHORT,105293.04,105419.46,2025-05-20 16:30:00+00:00,2025-05-20 16:45:00+00:00,105419.46,stop_loss_ma_touch,105419.46,-126.42,9.49730391,1000000.00,1001200.65,-1200.65,-0.1201,-20007.42,979992.58,0,
T00059,2025-05-20,2025-05-20,2025-05-20,2025-05-20 16:30:00+00:00,2025-05-20 16:45:00+00:00,SHORT,105410.44,105423.87,2025-05-20 16:45:00+00:00,2025-05-20 17:00:00+00:00,105423.87,stop_loss_ma_touch,105423.87,-13.43,9.48672636,1000000.00,1000127.41,-127.41,-0.0127,-20134.83,979865.17,0,
T00060,2025-05-20,2025-05-20,2025-05-20,2025-05-20 16:45:00+00:00,2025-05-20 17:00:00+00:00,SHORT,105242.22,105422.23,2025-05-20 17:00:00+00:00,2025-05-20 17:15:00+00:00,105422.23,stop_loss_ma_touch,105422.23,-180.01,9.50189002,1000000.00,1001710.44,-1710.44,-0.1710,-21845.26,978154.74,0,
T00061,2025-05-20,2025-05-20,2025-05-20,2025-05-20 17:00:00+00:00,2025-05-20 17:15:00+00:00,LONG,106146.59,105433.20,2025-05-20 18:45:00+00:00,2025-05-20 19:00:00+00:00,105486.11,stop_loss_ma_touch,105486.11,-660.48,9.42093382,1000000.00,993777.66,-6222.34,-0.6222,-28067.60,971932.40,0,
T00062,2025-05-20,2025-05-20,2025-05-20,2025-05-20 18:45:00+00:00,2025-05-20 19:00:00+00:00,SHORT,105314.65,105491.35,2025-05-20 19:00:00+00:00,2025-05-20 19:15:00+00:00,105491.35,stop_loss_ma_touch,105491.35,-176.70,9.49535511,1000000.00,1001677.83,-1677.83,-0.1678,-29745.43,970254.57,0,
T00063,2025-05-21,2025-05-20,2025-05-21,2025-05-20 19:00:00+00:00,2025-05-20 19:15:00+00:00,LONG,105887.80,105501.48,2025-05-20 23:45:00+00:00,2025-05-21 00:00:00+00:00,106883.24,end_of_data,105745.00,995.44,9.44395861,1000000.00,1009400.89,9400.89,0.9401,-20344.54,979655.46,1,
