target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
2,equity,ITC_NS,2026-04-24,INVERSE_BUY,BUY,SHORT,2026-04-24T10:35:00+05:30,2026-04-24T10:40:00+05:30,304.600006,304.539086,305.261325,303.277369,303.938688,303.277369,302.61605,301.954732,301.293413,0.440879,0.661319,304.10778,304.106839,303.592316,58.9376,-0.108057,-0.263277,20.9482,119759.0,156510.35,71.43,0.0,STRONG BULL,328,99888.82,256.92,1,19,2026-04-24T12:10:00+05:30,304.31085,OPPOSITE_SIGNAL,74.86,59.91,14.95,0.015,0.0582
2,equity,ITC_NS,2026-04-24,INVERSE_SELL,SELL,LONG,2026-04-24T12:05:00+05:30,2026-04-24T12:10:00+05:30,304.25,304.31085,303.719798,305.310404,304.780202,305.310404,305.840606,306.370809,306.901011,0.353468,0.530202,304.361847,304.367227,303.993332,47.5394,0.008527,0.041133,12.7332,374726.0,123744.6,14.29,71.43,STRONG BEAR,328,99813.96,213.79,0,3,2026-04-24T12:20:00+05:30,303.659054,STOP_LOSS,-213.79,59.82,-273.61,-0.2741,-1.2798
2,equity,ITC_NS,2026-04-27,INVERSE_BUY,BUY,SHORT,2026-04-27T09:20:00+05:30,2026-04-27T09:25:00+05:30,304.700012,304.68905,305.696066,302.707904,303.703958,302.707904,301.71185,300.715795,299.719741,0.664036,0.996054,302.83213,302.706234,304.666667,66.1437,-0.013287,-0.228033,33.517,503149.0,340118.0,100.0,0.0,STRONG BULL,328,99938.01,350.36,1,22,2026-04-27T11:10:00+05:30,303.760752,OPPOSITE_SIGNAL,304.48,59.87,244.61,0.2448,0.6982
2,equity,ITC_NS,2026-04-27,INVERSE_SELL,SELL,LONG,2026-04-27T11:05:00+05:30,2026-04-27T11:10:00+05:30,303.600006,303.760752,302.909902,304.980214,304.29011,304.980214,305.670318,306.360422,307.050526,0.460069,0.690104,304.179162,304.195312,304.644645,42.5081,0.11238,0.295358,18.9028,158856.0,150730.9,0.0,85.71,STRONG BEAR,329,99937.29,299.86,1,21,2026-04-27T12:50:00+05:30,303.989178,OPPOSITE_SIGNAL,75.15,59.98,15.17,0.0152,0.0506
2,equity,ITC_NS,2026-04-27,INVERSE_BUY,BUY,SHORT,2026-04-27T12:45:00+05:30,2026-04-27T12:50:00+05:30,303.950012,303.989178,304.560219,302.729598,303.339805,302.729598,302.119391,301.509184,300.898977,0.406805,0.610207,303.841262,303.831553,304.176012,52.0038,-0.017903,-0.071153,15.3917,110676.0,159652.5,57.14,14.29,STRONG BULL,328,99708.45,207.28,0,18,2026-04-27T14:15:00+05:30,304.621131,STOP_LOSS,-207.28,59.89,-267.17,-0.2679,-1.2889
2,equity,ITC_NS,2026-04-27,INVERSE_SELL,SELL,LONG,2026-04-27T15:00:00+05:30,2026-04-27T15:05:00+05:30,303.950012,304.010802,303.386546,305.076945,304.513479,305.076945,305.640411,306.203878,306.767344,0.375644,0.563466,304.130024,304.13395,304.178063,46.2235,0.020903,0.05545,10.0221,150336.0,231707.15,0.0,71.43,STRONG BEAR,328,99715.54,224.66,0,4,2026-04-27T15:20:00+05:30,303.639272,SESSION_END,-121.86,59.79,-181.65,-0.1822,-0.8086
2,equity,ITC_NS,2026-04-28,INVERSE_BUY,BUY,SHORT,2026-04-28T09:40:00+05:30,2026-04-28T09:45:00+05:30,304.450012,304.389122,305.094474,303.161088,303.80555,303.161088,302.516626,301.872164,301.227702,0.429641,0.644462,304.075418,304.066882,304.109773,58.2272,0.000791,-0.018179,13.9012,224721.0,231088.5,71.43,0.0,STRONG BULL,328,99839.63,251.37,0,6,2026-04-28T10:10:00+05:30,305.155493,STOP_LOSS,-251.37,59.98,-311.35,-0.3118,-1.2386
2,equity,ITC_NS,2026-04-28,INVERSE_SELL,SELL,LONG,2026-04-28T11:30:00+05:30,2026-04-28T11:35:00+05:30,304.200012,304.360848,303.67592,305.248197,304.724105,305.248197,305.77229,306.296382,306.820475,0.349395,0.524093,304.752995,304.769242,304.696693,36.1316,0.063796,0.179793,17.2248,145346.0,134090.6,0.0,85.71,STRONG BEAR,328,99830.36,244.58,1,18,2026-04-28T13:00:00+05:30,304.68905,OPPOSITE_SIGNAL,107.65,59.93,47.72,0.0478,0.1951
2,equity,ITC_NS,2026-04-28,INVERSE_BUY,BUY,SHORT,2026-04-28T12:55:00+05:30,2026-04-28T13:00:00+05:30,304.649994,304.68905,305.178569,303.592844,304.121419,303.592844,303.064269,302.535694,302.00712,0.352383,0.528575,304.579797,304.57955,304.60692,51.8618,-0.010816,-0.035903,15.3706,65401.0,169914.05,71.43,0.0,STRONG BULL,328,99938.01,180.58,0,1,2026-04-28T13:00:00+05:30,305.239604,STOP_LOSS,-180.58,60.02,-240.6,-0.2407,-1.3324
2,equity,ITC_NS,2026-04-28,INVERSE_SELL,SELL,LONG,2026-04-28T14:10:00+05:30,2026-04-28T14:15:00+05:30,304.549988,304.610898,303.979012,305.691939,305.120963,305.691939,306.262914,306.83389,307.404865,0.38065,0.570976,304.86365,304.869707,304.740585,41.1883,0.031177,0.086242,14.7481,158395.0,186798.9,0.0,71.43,STRONG BEAR,328,99912.37,227.2,0,14,2026-04-28T15:20:00+05:30,304.289136,SESSION_END,-105.54,59.92,-165.45,-0.1656,-0.7282
