target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,slippage_points,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
1,commodities,HGF,2026-04-07,SELL,SELL,SHORT,2026-04-07T09:20:00-04:00,2026-04-07T09:25:00-04:00,5.5955,5.595,5.603806,5.587194,5.587194,5.578889,5.570583,5.562277,5.553971,0.005537,0.008306,5.603406,5.604481,5.593917,39.5959,6.4e-05,0.001892,25.0089,568.0,81.9,28.57,71.43,STRONG BEAR,178731,999999.91,1573.89,0.0,1,2,2026-04-07T09:30:00-04:00,5.587194,TP1,1395.12,0.0,1395.12,0.1395,0.8864
1,commodities,HGF,2026-04-07,BUY,BUY,LONG,2026-04-07T12:05:00-04:00,2026-04-07T12:10:00-04:00,5.571,5.5705,5.557385,5.584616,5.584616,5.598231,5.611847,5.625462,5.639077,0.009077,0.013615,5.566662,5.566619,5.566053,51.8352,-0.002156,-0.004924,19.7267,224.0,360.4,71.43,0.0,STRONG BULL,179517,999999.43,2354.41,0.0,0,11,2026-04-07T13:00:00-04:00,5.561,OPPOSITE_SIGNAL,-1705.43,0.0,-1705.43,-0.1705,-0.7244
1,commodities,HGF,2026-04-07,SELL,SELL,SHORT,2026-04-07T12:55:00-04:00,2026-04-07T13:00:00-04:00,5.5615,5.561,5.57243,5.55057,5.55057,5.539639,5.528709,5.517779,5.506848,0.007287,0.01093,5.568111,5.568121,5.566426,43.6623,-0.000518,-0.00075,18.4126,900.0,289.35,14.29,71.43,STRONG BEAR,179823,999995.68,2055.48,0.0,1,4,2026-04-07T13:15:00-04:00,5.55057,TP1,1875.61,0.0,1875.61,0.1876,0.9125
1,commodities,HGF,2026-04-08,BUY,BUY,LONG,2026-04-08T09:15:00-04:00,2026-04-08T09:20:00-04:00,5.767,5.7665,5.733516,5.800484,5.800484,5.833968,5.867452,5.900936,5.93442,0.022323,0.033484,5.595813,5.573892,5.7655,88.6259,0.014835,0.000339,23.515,356.0,83.3,85.71,0.0,STRONG BULL,173415,999997.6,5719.87,0.0,0,20,2026-04-08T10:55:00-04:00,5.733516,STOP_LOSS,-5719.87,0.0,-5719.87,-0.572,-1.0
1,commodities,HGF,2026-04-08,SELL,SELL,SHORT,2026-04-08T14:35:00-04:00,2026-04-08T14:40:00-04:00,5.7585,5.7595,5.770779,5.746221,5.746221,5.733942,5.721664,5.709385,5.697106,0.008186,0.012279,5.766849,5.767692,5.762588,43.4876,0.001271,0.003694,20.5648,66.0,170.15,0.0,71.43,STRONG BEAR,173626,999998.95,1958.31,0.0,1,4,2026-04-08T14:55:00-04:00,5.746221,TP1,2305.53,0.0,2305.53,0.2306,1.1773
1,commodities,HGF,2026-04-09,BUY,BUY,LONG,2026-04-09T11:30:00-04:00,2026-04-09T11:35:00-04:00,5.77,5.7705,5.756565,5.783435,5.783435,5.79687,5.810306,5.823741,5.837176,0.008957,0.013435,5.752138,5.749716,5.749974,62.7566,0.000626,-0.002366,18.8205,710.0,348.4,85.71,0.0,STRONG BULL,173295,999998.83,2414.94,0.0,0,3,2026-04-09T11:45:00-04:00,5.756565,STOP_LOSS,-2414.91,0.0,-2414.91,-0.2415,-1.0
1,commodities,HGF,2026-04-09,SELL,SELL,SHORT,2026-04-09T14:30:00-04:00,2026-04-09T14:35:00-04:00,5.7605,5.7625,5.768778,5.752222,5.752222,5.743943,5.735665,5.727387,5.719108,0.005519,0.008278,5.765876,5.76635,5.758417,41.994,0.000556,0.001966,21.075,90.0,357.7,14.29,57.14,STRONG BEAR,173535,999995.4,1089.53,0.0,0,8,2026-04-09T15:10:00-04:00,5.768778,STOP_LOSS,-1089.5,0.0,-1089.5,-0.109,-1.0
1,commodities,HGF,2026-04-10,BUY,BUY,LONG,2026-04-10T09:15:00-04:00,2026-04-10T09:20:00-04:00,5.884,5.8845,5.865153,5.902847,5.902847,5.921693,5.94054,5.959387,5.978233,0.012564,0.018847,5.788846,5.776119,5.884,90.5322,0.009429,0.001974,21.7368,258.0,79.3,57.14,28.57,MILD BULL,169937,999994.28,3287.76,0.0,1,9,2026-04-10T10:00:00-04:00,5.902847,TP1,3117.76,0.0,3117.76,0.3118,0.9483
1,commodities,HGF,2026-04-10,SELL,SELL,SHORT,2026-04-10T11:40:00-04:00,2026-04-10T11:45:00-04:00,5.8805,5.879,5.897858,5.863142,5.863142,5.845784,5.828425,5.811067,5.793709,0.011572,0.017358,5.895336,5.895659,5.90483,45.026,0.007487,0.017164,38.0064,423.0,540.7,0.0,85.71,STRONG BEAR,170096,999994.42,3207.64,0.0,0,44,2026-04-10T15:20:00-04:00,5.878,OPPOSITE_SIGNAL,170.13,0.0,170.13,0.017,0.053
1,commodities,HGF,2026-04-10,BUY,BUY,LONG,2026-04-10T15:15:00-04:00,2026-04-10T15:20:00-04:00,5.8775,5.878,5.871158,5.883842,5.883842,5.890185,5.896527,5.90287,5.909212,0.004228,0.006342,5.875945,5.875898,5.893246,52.1355,-0.000556,-0.001388,15.0779,11.0,51.6,57.14,14.29,STRONG BULL,170125,999994.71,1164.02,0.0,0,1,2026-04-10T15:20:00-04:00,5.8765,SESSION_END,-255.17,0.0,-255.17,-0.0255,-0.2192
