market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,quantity,notional,slippage_points,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles
equity,INFY_NS,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00+05:30,1295.0,1295.0,1273.800049,1280.0,0.0,-1.5059,2026-04-22T10:05:00+05:30,1272.0,2026-04-22T10:10:00+05:30,1271.8,1295.259,1224.882,2026-04-22T15:20:00+05:30,1267.899951,END_OF_DAY,42,53415.6,0.2,163.8,50.0,113.8,0.2131,0.1145,63
equity,INFY_NS,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00+05:30,1155.699951,1171.300049,1155.699951,1168.599976,0.0,0.0606,2026-04-27T09:20:00+05:30,1175.199951,2026-04-27T09:25:00+05:30,1175.000049,1155.468811,1214.062524,2026-04-27T15:20:00+05:30,1170.399976,END_OF_DAY,50,58750.0,0.2,-230.0,50.0,-280.0,-0.4766,-0.2838,72
equity,INFY_NS,2026-04-29,OPEN_EQUALS_LOW,LONG,2026-04-29T09:15:00+05:30,1158.0,1164.599976,1157.599976,1159.699951,292222.0,0.6606,2026-04-29T09:35:00+05:30,1167.0,2026-04-29T09:40:00+05:30,1167.100024,1157.7684,1185.763273,2026-04-29T12:15:00+05:30,1176.700024,END_OF_DAY,85,99203.5,0.2,816.0,50.0,766.0,0.7722,0.9455,32
equity,ITC_NS,2026-04-09,OPEN_EQUALS_LOW,LONG,2026-04-09T09:15:00+05:30,301.649994,304.049988,301.600006,304.049988,0.0,-0.0828,2026-04-09T09:20:00+05:30,304.399994,2026-04-09T09:25:00+05:30,304.550006,301.589664,310.470691,2026-04-09T15:20:00+05:30,302.55,END_OF_DAY,316,96237.8,0.2,-632.0,50.0,-682.0,-0.7087,-0.6829,72
equity,ITC_NS,2026-04-15,OPEN_EQUALS_LOW,LONG,2026-04-15T09:15:00+05:30,301.100006,302.700012,300.799988,302.399994,0.0,0.7698,2026-04-15T09:50:00+05:30,302.799988,2026-04-15T09:55:00+05:30,302.999988,301.039786,306.920391,2026-04-15T15:20:00+05:30,301.900006,END_OF_DAY,330,99990.0,0.2,-362.99,50.0,-412.99,-0.413,-0.5793,66
equity,ITC_NS,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,303.399994,303.399994,302.100006,303.100006,0.0,0.4303,2026-04-16T09:55:00+05:30,302.0,2026-04-16T10:00:00+05:30,301.900006,303.460674,298.778671,2026-04-16T11:10:00+05:30,303.660674,STOP_LOSS,331,99928.9,0.2,-582.78,50.0,-632.78,-0.6332,-1.0858,15
equity,ITC_NS,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00+05:30,307.200012,307.399994,305.5,305.850006,0.0,0.1304,2026-04-20T15:05:00+05:30,305.350006,2026-04-20T15:10:00+05:30,305.150006,307.261452,300.927114,2026-04-20T15:20:00+05:30,304.800006,END_OF_DAY,327,99784.05,0.2,114.45,50.0,64.45,0.0646,0.0853,3
equity,ITC_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,304.850006,305.700012,304.649994,305.700012,0.0,0.0821,2026-04-21T09:20:00+05:30,305.799988,2026-04-21T09:25:00+05:30,305.900012,304.789036,308.121964,2026-04-21T09:50:00+05:30,304.589036,STOP_LOSS,326,99723.4,0.2,-427.38,50.0,-477.38,-0.4787,-1.117,6
equity,ITC_NS,2026-04-24,OPEN_EQUALS_HIGH,SHORT,2026-04-24T09:15:00+05:30,306.649994,306.649994,303.200012,303.700012,0.0,0.4586,2026-04-24T09:30:00+05:30,303.149994,2026-04-24T09:35:00+05:30,302.900006,306.711324,295.277371,2026-04-24T15:20:00+05:30,301.599994,END_OF_DAY,249,75422.1,0.2,323.7,50.0,273.7,0.3629,0.274,70
equity,ITC_NS,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00+05:30,303.25,304.450012,303.0,304.149994,0.0,0.6138,2026-04-27T09:20:00+05:30,304.700012,2026-04-27T09:25:00+05:30,304.95,303.18935,308.4713,2026-04-27T11:35:00+05:30,302.98935,STOP_LOSS,327,99718.65,0.2,-641.13,50.0,-691.13,-0.6931,-1.078,27
equity,ITC_NS,2026-04-29,OPEN_EQUALS_LOW,LONG,2026-04-29T09:15:00+05:30,305.600006,308.0,305.399994,307.25,493351.0,0.4107,2026-04-29T09:20:00+05:30,309.950012,2026-04-29T09:25:00+05:30,309.95,305.538886,318.772228,2026-04-29T12:15:00+05:30,314.199994,END_OF_DAY,216,66949.2,0.2,918.0,50.0,868.0,1.2965,0.8715,35
equity,KOTAKBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,358.0,358.0,351.649994,351.700012,0.0,0.1539,2026-04-06T09:20:00+05:30,350.549988,2026-04-06T09:25:00+05:30,350.349988,358.0716,334.906763,2026-04-06T13:05:00+05:30,358.2716,STOP_LOSS,126,44144.1,0.2,-998.12,50.0,-1048.12,-2.3743,-1.0501,45
equity,KOTAKBANK_NS,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,383.950012,383.950012,381.700012,382.75,0.0,0.3004,2026-04-16T11:55:00+05:30,381.649994,2026-04-16T12:00:00+05:30,381.449994,384.026802,376.296377,2026-04-16T15:20:00+05:30,378.599994,END_OF_DAY,262,99939.9,0.2,746.7,50.0,696.7,0.6971,0.9576,41
equity,KOTAKBANK_NS,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00+05:30,376.75,379.549988,376.75,378.549988,0.0,-0.4360,2026-04-17T09:20:00+05:30,379.850006,2026-04-17T09:25:00+05:30,379.95,376.67465,386.5007,2026-04-17T15:20:00+05:30,383.250012,END_OF_DAY,263,99926.85,0.2,867.9,50.0,817.9,0.8185,0.8948,72
equity,KOTAKBANK_NS,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00+05:30,382.899994,382.950012,380.25,381.850006,0.0,-0.1434,2026-04-20T15:05:00+05:30,379.399994,2026-04-20T15:10:00+05:30,379.250012,382.976574,371.796889,2026-04-20T15:20:00+05:30,379.099994,END_OF_DAY,254,96329.5,0.2,38.1,50.0,-11.9,-0.0123,-0.0119,3
equity,KOTAKBANK_NS,2026-04-23,OPEN_EQUALS_HIGH,SHORT,2026-04-23T09:15:00+05:30,373.450012,373.450012,370.25,373.0,0.0,-0.7706,2026-04-23T10:35:00+05:30,369.850006,2026-04-23T10:40:00+05:30,369.650006,373.524702,361.900614,2026-04-23T15:20:00+05:30,370.900012,END_OF_DAY,245,90564.25,0.2,-306.25,50.0,-356.25,-0.3934,-0.3569,57
equity,KOTAKBANK_NS,2026-04-28,OPEN_EQUALS_LOW,LONG,2026-04-28T09:15:00+05:30,373.450012,377.25,373.450012,376.399994,0.0,-0.7969,2026-04-28T09:20:00+05:30,380.0,2026-04-28T09:25:00+05:30,380.150012,373.375322,393.699392,2026-04-28T15:20:00+05:30,377.349988,END_OF_DAY,143,54361.45,0.2,-400.4,50.0,-450.4,-0.8285,-0.4516,72
equity,LT_NS,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,3536.0,3536.0,3477.5,3493.0,0.0,-1.9711,2026-04-02T10:05:00+05:30,3475.0,2026-04-02T10:10:00+05:30,3473.600049,3536.7072,3347.385746,2026-04-02T13:00:00+05:30,3536.9072,STOP_LOSS,15,52104.0,0.2,-949.61,50.0,-999.61,-1.9185,-1.0527,35
equity,LT_NS,2026-04-08,OPEN_EQUALS_LOW,LONG,2026-04-08T09:15:00+05:30,3944.0,4021.199951,3944.0,4002.899902,0.0,5.9987,2026-04-08T11:45:00+05:30,4029.899902,2026-04-08T11:50:00+05:30,4031.899951,3943.2112,4209.277454,2026-04-08T15:20:00+05:30,4011.100049,END_OF_DAY,11,44350.9,0.2,-228.8,50.0,-278.8,-0.6286,-0.2851,43
equity,LT_NS,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00+05:30,3924.699951,3939.0,3923.699951,3936.5,0.0,0.8143,2026-04-10T09:30:00+05:30,3940.100098,2026-04-10T09:35:00+05:30,3940.399951,3923.915011,3973.369831,2026-04-10T15:20:00+05:30,3958.3,END_OF_DAY,25,98510.0,0.2,447.5,50.0,397.5,0.4035,0.953,70
equity,LT_NS,2026-04-15,OPEN_EQUALS_LOW,LONG,2026-04-15T09:15:00+05:30,4036.600098,4067.0,4036.600098,4052.899902,0.0,2.0890,2026-04-15T09:40:00+05:30,4071.5,2026-04-15T09:45:00+05:30,4073.2,4035.792778,4148.014445,2026-04-15T15:20:00+05:30,4075.199902,END_OF_DAY,24,97756.8,0.2,48.0,50.0,-2.0,-0.002,-0.0022,68
equity,LT_NS,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00+05:30,4065.100098,4065.100098,4048.0,4052.0,0.0,-0.2209,2026-04-22T09:40:00+05:30,4042.5,2026-04-22T09:45:00+05:30,4041.3,4065.913118,3992.073765,2026-04-22T15:20:00+05:30,4020.599902,END_OF_DAY,24,96991.2,0.2,496.8,50.0,446.8,0.4607,0.7503,68
equity,LT_NS,2026-04-29,OPEN_EQUALS_LOW,LONG,2026-04-29T09:15:00+05:30,4052.300049,4078.0,4052.300049,4069.899902,34311.0,0.3343,2026-04-29T10:00:00+05:30,4080.0,2026-04-29T10:05:00+05:30,4079.300098,4051.489589,4134.921115,2026-04-29T12:15:00+05:30,4112.8,END_OF_DAY,24,97903.2,0.2,804.0,50.0,754.0,0.7701,1.1216,27
equity,RELIANCE_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1376.300049,1377.400024,1365.0,1369.900024,0.0,2.1752,2026-04-01T13:40:00+05:30,1364.900024,2026-04-01T13:45:00+05:30,1364.8,1376.575309,1341.249382,2026-04-01T15:20:00+05:30,1369.500049,END_OF_DAY,73,99630.4,0.2,-343.1,50.0,-393.1,-0.3946,-0.4497,20
equity,RELIANCE_NS,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,1358.0,1358.0,1349.400024,1351.199951,0.0,-0.8252,2026-04-02T09:35:00+05:30,1347.0,2026-04-02T09:40:00+05:30,1346.3,1358.2716,1322.3568,2026-04-02T15:20:00+05:30,1349.600024,END_OF_DAY,74,99626.2,0.2,-244.2,50.0,-294.2,-0.2953,-0.3266,69
equity,RELIANCE_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1355.0,1355.0,1336.400024,1338.699951,0.0,0.4150,2026-04-06T09:20:00+05:30,1331.599976,2026-04-06T09:25:00+05:30,1330.999951,1355.271,1282.457854,2026-04-06T15:20:00+05:30,1306.399951,END_OF_DAY,40,53240.0,0.2,984.0,50.0,934.0,1.7543,0.9542,72
equity,RELIANCE_NS,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00+05:30,1345.099976,1346.199951,1338.300049,1346.099976,0.0,-0.2669,2026-04-09T09:50:00+05:30,1338.199951,2026-04-09T09:55:00+05:30,1337.600049,1345.368996,1322.062155,2026-04-09T15:20:00+05:30,1329.000049,END_OF_DAY,74,98982.4,0.2,636.4,50.0,586.4,0.5924,0.9944,66
equity,RELIANCE_NS,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,1352.0,1352.0,1340.0,1342.599976,0.0,0.6027,2026-04-16T09:35:00+05:30,1339.400024,2026-04-16T09:40:00+05:30,1339.200024,1352.2704,1313.059273,2026-04-16T15:20:00+05:30,1345.799976,END_OF_DAY,74,99100.8,0.2,-488.4,50.0,-538.4,-0.5433,-0.5483,69
