period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2023-08,31,3,0,0,170,0,91,79,170,0,0,9,19,0,1795.66,64.13,56556.81,2019.89,1578666.16,2023-08-19,3160.57,108464.09,2023-08-21,-291.10,-11190.43,3,7,1284.24,49116.86,3.0174
2023-09,30,1,0,0,213,0,92,121,213,0,0,9,20,0,-2112.97,-72.86,-81449.98,-2808.62,1497216.15,2023-09-02,1265.11,46356.87,2023-09-20,-559.71,-20696.04,2,6,3697.24,140082.56,8.6193
2023-10,31,3,0,0,181,0,95,86,181,0,0,10,18,0,1291.22,46.11,57047.13,2037.40,1554263.29,2023-10-24,2583.09,87779.72,2023-10-25,-903.07,-26552.04,4,7,2138.15,62667.69,3.8757
2023-11,30,0,0,0,181,0,96,85,181,0,0,10,20,0,-1472.58,-49.09,-40702.56,-1356.75,1513560.76,2023-11-16,1233.97,34443.04,2023-11-01,-1100.87,-31913.65,3,5,2983.15,82980.59,5.3389
2023-12,31,1,0,0,143,0,64,79,143,0,0,18,12,0,5357.68,178.59,135415.77,4513.86,1648976.54,2023-12-05,1792.58,45752.07,2023-12-10,-602.55,-13732.72,5,3,1295.89,29650.06,1.7844
2024-01,31,2,0,0,207,0,99,108,207,0,0,8,21,0,-2060.93,-71.07,-48092.22,-1658.35,1600884.30,2024-01-13,2879.10,61589.17,2024-01-11,-1566.77,-33621.19,2,5,4625.65,107050.72,6.3012
2024-02,29,4,0,0,155,1,79,76,154,1,0,9,16,0,9186.64,367.47,190158.87,7606.35,1791043.15,2024-02-29,9194.77,181398.36,2024-02-22,-1737.06,-33679.82,2,7,3781.08,72993.19,4.3574
2024-03,31,2,0,0,147,0,74,73,147,0,0,13,16,0,6083.43,209.77,93626.60,3228.50,1884669.74,2024-03-26,4982.95,76347.68,2024-03-07,-1593.80,-24111.22,2,3,2623.51,39168.46,2.1811
2024-04,30,0,0,0,165,0,81,84,165,0,0,10,20,0,-5992.29,-199.74,-97428.60,-3247.62,1787241.07,2024-04-25,2226.40,33530.65,2024-04-19,-2402.40,-38180.51,3,6,8157.04,127169.06,6.6499
2024-05,31,2,0,0,149,1,76,73,148,1,0,13,16,0,6738.08,232.35,112884.58,3892.57,1900125.65,2024-05-16,3640.29,59046.43,2024-05-07,-2246.93,-35258.35,3,3,3016.62,47335.22,2.5378
