date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2026-03-01,TRADED,4,0,2,2,4,0,0,1,3,0,462.56,115.64,921.63,-222.18,1,3,459.07,
2026-03-02,TRADED,15,0,4,11,15,0,0,0,15,0,-1816.65,-121.11,-2.70,-421.86,0,15,1816.65,
2026-03-03,TRADED,10,0,8,2,10,0,0,1,9,0,-1322.30,-132.23,670.11,-637.54,1,9,1992.41,
2026-03-04,TRADED,6,0,3,3,6,0,0,0,6,0,-747.99,-124.67,-15.87,-249.10,0,6,747.99,
2026-03-05,TRADED,9,0,7,2,9,0,0,1,8,0,2202.04,244.67,3912.18,-476.11,1,8,1710.14,
2026-03-06,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-03-07,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-03-08,TRADED,12,0,5,7,12,0,0,2,10,0,3989.00,332.42,5136.20,-354.36,1,6,1147.20,
2026-03-09,TRADED,2,0,1,1,2,0,0,0,2,0,-228.06,-114.03,-98.93,-129.13,0,2,228.06,
2026-03-10,TRADED,6,0,3,3,6,0,0,2,4,0,2387.86,397.98,2426.17,-122.39,2,4,246.50,
2026-03-11,TRADED,5,0,4,1,5,0,0,0,5,0,-1303.77,-260.75,-81.48,-644.36,0,5,1303.77,
2026-03-12,TRADED,14,0,5,9,14,0,0,1,13,0,-1826.04,-130.43,6.55,-313.35,1,9,1826.04,
2026-03-13,TRADED,3,0,2,1,3,0,0,1,2,0,694.24,231.41,1144.35,-443.77,1,2,450.11,
2026-03-14,TRADED,6,0,2,4,6,0,0,1,5,0,32.73,5.45,245.23,-66.84,1,5,212.50,
2026-03-15,TRADED,2,0,2,0,2,0,0,1,1,0,301.85,150.92,322.40,-20.55,1,1,20.55,
2026-03-16,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-03-17,TRADED,18,0,9,9,18,0,0,1,17,0,492.44,27.36,2579.00,-309.43,1,17,2086.56,
2026-03-18,TRADED,10,0,6,4,10,0,0,0,10,0,-586.62,-58.66,-1.98,-200.10,0,10,586.62,
2026-03-19,TRADED,6,0,2,4,6,0,0,1,5,0,3022.57,503.76,3527.70,-152.62,1,5,505.13,
2026-03-20,TRADED,7,0,4,3,7,0,0,0,7,0,-1230.46,-175.78,-6.54,-458.03,0,7,1230.46,
2026-03-21,TRADED,2,0,2,0,2,0,0,0,2,0,-190.80,-95.40,-31.92,-158.88,0,2,190.80,
2026-03-22,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-03-23,TRADED,9,0,5,4,9,0,0,1,8,0,827.39,91.93,1877.20,-560.85,1,8,1049.81,
2026-03-24,TRADED,5,0,2,3,5,0,0,3,2,0,2165.41,433.08,1598.25,-157.29,2,1,157.29,
2026-03-25,TRADED,12,0,6,6,12,0,0,1,11,0,-883.42,-73.62,140.46,-353.32,1,10,883.42,
2026-03-26,TRADED,1,0,1,0,1,0,0,0,1,0,-213.30,-213.30,-213.30,-213.30,0,1,213.30,
2026-03-27,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-03-28,TRADED,7,0,5,2,7,0,0,2,5,0,4352.82,621.83,4438.21,-142.93,1,5,300.25,
2026-03-29,TRADED,23,0,14,9,23,0,0,0,23,0,-1381.90,-60.08,-0.95,-162.62,0,23,1381.90,
2026-03-30,TRADED,6,0,3,3,6,0,0,1,5,0,-249.34,-41.56,343.15,-293.36,1,5,592.49,
2026-03-31,TRADED,12,0,5,7,12,0,0,1,11,0,-1924.17,-160.35,209.41,-500.35,1,6,1924.17,
2026-04-01,TRADED,5,0,4,1,5,0,0,1,4,0,70.10,14.02,460.94,-200.69,1,4,390.84,
2026-04-02,TRADED,13,0,5,8,13,0,0,1,12,0,-687.23,-52.86,399.86,-381.65,1,10,854.57,
