sizing_method,trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
fixed_fractional,54,2026-04-15T15:20:00+05:30,2026-04-15,equity,ITC_NS,-2875.61,697844.97,-302155.03,-30.2155
fixed_fractional,55,2026-04-15T15:20:00+05:30,2026-04-15,equity,LT_NS,49.21,697894.18,-302105.82,-30.2106
fixed_fractional,56,2026-04-15T09:55:00-04:00,2026-04-15,commodities,CLF,-19098.94,678795.24,-321204.76,-32.1205
fixed_fractional,57,2026-04-15T10:35:00-04:00,2026-04-15,commodities,NGF,-7790.43,671004.81,-328995.19,-32.8995
fixed_fractional,58,2026-04-15T11:35:00-04:00,2026-04-15,commodities,SIF,-16574.33,654430.48,-345569.52,-34.557
fixed_fractional,59,2026-04-16T11:10:00+05:30,2026-04-16,equity,ITC_NS,-160.36,654270.12,-345729.88,-34.573
fixed_fractional,60,2026-04-16T12:00:00+05:30,2026-04-16,derivatives,NSEI,2788.39,657058.51,-342941.49,-34.2941
fixed_fractional,61,2026-04-16T13:00:00+05:30,2026-04-16,equity,BHARTIARTL_NS,7964.19,665022.7,-334977.3,-33.4977
fixed_fractional,62,2026-04-16T15:20:00+05:30,2026-04-16,equity,KOTAKBANK_NS,4628.85,669651.55,-330348.45,-33.0348
fixed_fractional,63,2026-04-16T15:20:00+05:30,2026-04-16,equity,RELIANCE_NS,-3500.79,666150.76,-333849.24,-33.3849
fixed_fractional,64,2026-04-16T09:35:00-04:00,2026-04-16,commodities,CLF,-17638.97,648511.79,-351488.21,-35.1488
fixed_fractional,65,2026-04-16T09:45:00-04:00,2026-04-16,commodities,SIF,-16200.41,632311.38,-367688.62,-36.7689
fixed_fractional,66,2026-04-17T15:20:00+05:30,2026-04-17,derivatives,CNXFMCG,8765.56,641076.94,-358923.06,-35.8923
fixed_fractional,67,2026-04-17T15:20:00+05:30,2026-04-17,equity,KOTAKBANK_NS,5218.12,646295.06,-353704.94,-35.3705
fixed_fractional,68,2026-04-17T15:20:00+05:30,2026-04-17,equity,RELIANCE_NS,5938.14,652233.2,-347766.8,-34.7767
fixed_fractional,69,2026-04-17T10:00:00-04:00,2026-04-17,commodities,GCF,-14496.14,637737.06,-362262.94,-36.2263
fixed_fractional,70,2026-04-17T10:15:00-04:00,2026-04-17,commodities,CLF,-12821.91,624915.15,-375084.85,-37.5085
fixed_fractional,71,2026-04-17T14:25:00-04:00,2026-04-17,commodities,SIF,-15469.67,609445.48,-390554.52,-39.0555
fixed_fractional,72,2026-04-17T15:20:00-04:00,2026-04-17,commodities,NGF,-6724.72,602720.76,-397279.24,-39.7279
fixed_fractional,73,2026-04-20T15:20:00+05:30,2026-04-20,equity,BHARTIARTL_NS,2600.33,605321.09,-394678.91,-39.4679
fixed_fractional,74,2026-04-20T15:20:00+05:30,2026-04-20,equity,INFY_NS,1070.42,606391.51,-393608.49,-39.3608
fixed_fractional,75,2026-04-20T15:20:00+05:30,2026-04-20,equity,ITC_NS,430.41,606821.92,-393178.08,-39.3178
fixed_fractional,76,2026-04-20T15:20:00+05:30,2026-04-20,equity,KOTAKBANK_NS,-1.01,606820.91,-393179.09,-39.3179
fixed_fractional,77,2026-04-20T10:00:00-04:00,2026-04-20,commodities,NGF,-6792.9,600028.01,-399971.99,-39.9972
fixed_fractional,78,2026-04-20T10:20:00-04:00,2026-04-20,commodities,SIF,-14249.87,585778.14,-414221.86,-41.4222
fixed_fractional,79,2026-04-20T10:50:00-04:00,2026-04-20,commodities,HGF,-7611.36,578166.78,-421833.22,-42.1833
fixed_fractional,80,2026-04-21T09:50:00+05:30,2026-04-21,equity,ITC_NS,-2729.36,575437.42,-424562.58,-42.4563
fixed_fractional,81,2026-04-21T12:05:00+05:30,2026-04-21,equity,HDFCBANK_NS,-4799.94,570637.48,-429362.52,-42.9363
fixed_fractional,82,2026-04-21T12:05:00+05:30,2026-04-21,equity,ICICIBANK_NS,-297.48,570340.0,-429660.0,-42.966
fixed_fractional,83,2026-04-21T15:20:00+05:30,2026-04-21,derivatives,CNXAUTO,-2009.8,568330.2,-431669.8,-43.167
fixed_fractional,84,2026-04-21T15:20:00+05:30,2026-04-21,derivatives,NSEI,134.19,568464.39,-431535.61,-43.1536
fixed_fractional,85,2026-04-21T15:20:00+05:30,2026-04-21,equity,BHARTIARTL_NS,-451.03,568013.36,-431986.64,-43.1987
fixed_fractional,86,2026-04-21T09:50:00-04:00,2026-04-21,commodities,NGF,-6371.66,561641.7,-438358.3,-43.8358
fixed_fractional,87,2026-04-22T15:20:00+05:30,2026-04-22,derivatives,CNXIT,547.96,562189.66,-437810.34,-43.781
fixed_fractional,88,2026-04-22T15:20:00+05:30,2026-04-22,equity,ICICIBANK_NS,1758.44,563948.1,-436051.9,-43.6052
fixed_fractional,89,2026-04-22T15:20:00+05:30,2026-04-22,equity,INFY_NS,770.43,564718.53,-435281.47,-43.5281
fixed_fractional,90,2026-04-22T15:20:00+05:30,2026-04-22,equity,LT_NS,2612.35,567330.88,-432669.12,-43.2669
fixed_fractional,91,2026-04-22T14:45:00-04:00,2026-04-22,commodities,GCF,-10624.39,556706.49,-443293.51,-44.3294
fixed_fractional,92,2026-04-23T15:20:00+05:30,2026-04-23,derivatives,CNXAUTO,4060.98,560767.47,-439232.53,-43.9233
fixed_fractional,93,2026-04-23T15:20:00+05:30,2026-04-23,equity,KOTAKBANK_NS,-1934.36,558833.11,-441166.89,-44.1167
fixed_fractional,94,2026-04-23T09:40:00-04:00,2026-04-23,commodities,NGF,-6245.87,552587.24,-447412.76,-44.7413
fixed_fractional,95,2026-04-23T09:40:00-04:00,2026-04-23,commodities,SIF,-14585.37,538001.87,-461998.13,-46.1998
fixed_fractional,96,2026-04-23T09:55:00-04:00,2026-04-23,commodities,GCF,-10024.47,527977.4,-472022.6,-47.2023
fixed_fractional,97,2026-04-23T13:05:00-04:00,2026-04-23,commodities,HGF,-6645.0,521332.4,-478667.6,-47.8668
fixed_fractional,98,2026-04-24T15:20:00+05:30,2026-04-24,derivatives,CNXFMCG,1359.5,522691.9,-477308.1,-47.7308
fixed_fractional,99,2026-04-24T15:20:00+05:30,2026-04-24,equity,HDFCBANK_NS,-961.18,521730.72,-478269.28,-47.8269
fixed_fractional,100,2026-04-24T15:20:00+05:30,2026-04-24,equity,ITC_NS,1502.4,523233.12,-476766.88,-47.6767
fixed_fractional,101,2026-04-24T15:20:00+05:30,2026-04-24,equity,SBIN_NS,-310.64,522922.48,-477077.52,-47.7078
fixed_fractional,102,2026-04-24T09:40:00-04:00,2026-04-24,commodities,SIF,-14216.98,508705.5,-491294.5,-49.1294
fixed_fractional,103,2026-04-24T13:30:00-04:00,2026-04-24,commodities,NGF,-5858.25,502847.25,-497152.75,-49.7153
fixed_fractional,104,2026-04-27T11:35:00+05:30,2026-04-27,equity,ITC_NS,-3455.73,499391.52,-500608.48,-50.0608
fixed_fractional,105,2026-04-27T15:20:00+05:30,2026-04-27,derivatives,CNXIT,2503.76,501895.28,-498104.72,-49.8105
fixed_fractional,106,2026-04-27T15:20:00+05:30,2026-04-27,equity,INFY_NS,-1321.18,500574.1,-499425.9,-49.9426
fixed_fractional,107,2026-04-27T15:20:00+05:30,2026-04-27,equity,TCS_NS,3056.82,503630.92,-496369.08,-49.6369
fixed_fractional,108,2026-04-27T09:35:00-04:00,2026-04-27,commodities,NGF,-5667.25,497963.67,-502036.33,-50.2036
fixed_fractional,109,2026-04-27T09:45:00-04:00,2026-04-27,commodities,SIF,-13240.54,484723.13,-515276.87,-51.5277
fixed_fractional,110,2026-04-27T10:10:00-04:00,2026-04-27,commodities,CLF,-12229.64,472493.49,-527506.51,-52.7507
fixed_fractional,111,2026-04-27T10:25:00-04:00,2026-04-27,commodities,HGF,-6106.74,466386.75,-533613.25,-53.3613
fixed_fractional,112,2026-04-28T11:20:00+05:30,2026-04-28,derivatives,NSEBANK,-1956.5,464430.25,-535569.75,-53.557
fixed_fractional,113,2026-04-28T15:20:00+05:30,2026-04-28,equity,KOTAKBANK_NS,-2007.18,462423.07,-537576.93,-53.7577
fixed_fractional,114,2026-04-28T10:05:00-04:00,2026-04-28,commodities,HGF,-5838.1,456584.97,-543415.03,-54.3415
fixed_fractional,115,2026-04-28T10:35:00-04:00,2026-04-28,commodities,CLF,-12225.29,444359.68,-555640.32,-55.564
fixed_fractional,116,2026-04-28T11:15:00-04:00,2026-04-28,commodities,NGF,-5086.32,439273.36,-560726.64,-56.0727
fixed_fractional,117,2026-04-29T09:45:00+05:30,2026-04-29,equity,HDFCBANK_NS,-2112.73,437160.63,-562839.37,-56.2839
fixed_fractional,118,2026-04-29T12:10:00+05:30,2026-04-29,derivatives,CNXFMCG,4043.28,441203.91,-558796.09,-55.8796
fixed_fractional,119,2026-04-29T12:15:00+05:30,2026-04-29,equity,BHARTIARTL_NS,1833.17,443037.08,-556962.92,-55.6963
fixed_fractional,120,2026-04-29T12:15:00+05:30,2026-04-29,equity,ITC_NS,3892.93,446930.01,-553069.99,-55.307
fixed_fractional,121,2026-04-29T13:25:00+05:30,2026-04-29,derivatives,CNXAUTO,159.45,447089.46,-552910.54,-55.2911
