sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,slippage_points,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
fractional_kelly,equity,KOTAKBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,358.0,358.0,351.649994,351.700012,0.0,0.1539,2026-04-06T09:20:00+05:30,350.549988,2026-04-06T09:25:00+05:30,350.349988,358.0716,334.906763,2026-04-06T13:05:00+05:30,358.2716,STOP_LOSS,1.850002,0.2,1123,889875.21,1.0,8895.97,8878.88,53392.51,393443.04,609820.22,2669625.63,risk_budget,kelly_warmup_fixed_percent_risk,-8895.97,189.36,-9085.33,-2.3092,-1.0213,45,865185.71
fractional_kelly,equity,BHARTIARTL_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1808.5,1809.099976,1788.0,1789.800049,0.0,0.9264,2026-04-06T09:20:00+05:30,1783.800049,2026-04-06T09:25:00+05:30,1783.100049,1808.8617,1731.576746,2026-04-06T15:20:00+05:30,1792.100024,END_OF_DAY,8.057155,0.2,342,889875.21,1.0,8878.88,0.0,53392.51,609820.22,0.0,2669625.63,risk_budget,kelly_warmup_fixed_percent_risk,-3077.99,264.46,-3342.45,-0.5481,-0.3764,72,861843.26
fractional_kelly,equity,RELIANCE_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1355.0,1355.0,1336.400024,1338.699951,0.0,0.4150,2026-04-06T09:20:00+05:30,1331.599976,2026-04-06T09:25:00+05:30,1330.999951,1355.271,1282.457854,2026-04-06T15:20:00+05:30,1306.399951,END_OF_DAY,5.792855,0.2,363,889875.21,1.0,8882.99,17774.85,53392.51,483152.98,1003263.26,2669625.63,risk_budget,kelly_warmup_fixed_percent_risk,8929.8,216.06,8713.74,1.8035,0.9809,72,870557.0
fractional_kelly,commodities,HGF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,5.625,5.6325,5.625,5.6295,238.0,-0.3543,2026-04-06T09:20:00-04:00,5.633,2026-04-06T09:25:00-04:00,5.833,5.623875,6.25125,2026-04-06T09:25:00-04:00,5.423875,STOP_LOSS,0.008786,0.2,21278,870557.0,1.0,8705.36,8705.0,52233.42,124114.57,734682.95,2611671.0,risk_budget,kelly_warmup_fixed_percent_risk,-8705.36,2071.33,-10776.69,-8.6829,-1.2379,1,859780.31
fractional_kelly,commodities,CLF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,111.330002,111.889999,111.25,111.870003,2377.0,0.0090,2026-04-06T09:20:00-04:00,112.239998,2026-04-06T09:25:00-04:00,112.439998,111.307736,114.704522,2026-04-06T10:15:00-04:00,111.107736,STOP_LOSS,0.505715,0.2,6534,870557.0,1.0,8705.0,0.0,52233.42,734682.95,0.0,2611671.0,risk_budget,kelly_warmup_fixed_percent_risk,-8705.0,12568.22,-21273.22,-2.8956,-2.4438,11,838507.09
fractional_kelly,commodities,GCF,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00-04:00,4694.700195,4695.200195,4689.200195,4689.200195,154.0,-0.1149,2026-04-06T11:10:00-04:00,4687.5,2026-04-06T11:15:00-04:00,4687.099805,4695.639135,4670.021143,2026-04-06T11:30:00-04:00,4695.839135,STOP_LOSS,10.321463,0.2,178,838507.09,1.0,1555.6,8597.61,50310.43,834303.77,55265.03,2515521.27,per_trade_allocation,kelly_warmup_fixed_percent_risk,-1555.6,14410.14,-15965.74,-1.9137,-10.2634,4,822541.35
fractional_kelly,commodities,NGF,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00-04:00,2.864,2.865,2.856,2.857,917.0,2.2492,2026-04-06T09:20:00-04:00,2.852,2026-04-06T09:25:00-04:00,2.652,2.864573,2.226854,2026-04-06T15:20:00-04:00,3.003,END_OF_DAY,0.009929,0.2,20839,859780.31,1.0,8597.61,8705.0,51586.82,55265.03,734682.95,2579340.93,risk_budget,kelly_warmup_fixed_percent_risk,-7314.49,1083.97,-8398.46,-15.1967,-0.9768,72,814142.89
fractional_kelly,commodities,GCF,2026-04-07,OPEN_EQUALS_HIGH,SHORT,2026-04-07T09:15:00-04:00,4682.0,4682.700195,4675.299805,4676.200195,256.0,0.1647,2026-04-07T09:30:00-04:00,4673.0,2026-04-07T09:35:00-04:00,4672.000195,4682.9364,4650.127786,2026-04-07T10:00:00-04:00,4650.327786,TARGET,8.74285,0.2,174,814142.89,1.0,1937.7,0.0,48848.57,812928.03,0.0,2442428.67,per_trade_allocation,kelly_warmup_fixed_percent_risk,3771.0,13975.56,-10204.56,-1.2553,-5.2663,6,803938.33
fractional_kelly,commodities,SIF,2026-04-07,OPEN_EQUALS_HIGH,SHORT,2026-04-07T09:15:00-04:00,72.245003,72.269997,72.040001,72.084999,78.0,-1.1020,2026-04-07T09:30:00-04:00,71.940002,2026-04-07T09:35:00-04:00,71.670003,72.259452,70.491105,2026-04-07T10:05:00-04:00,70.691105,TARGET,0.29,0.2,10312,814142.89,1.0,8140.8,1937.7,48848.57,739061.07,812928.03,2442428.67,risk_budget,kelly_warmup_fixed_percent_risk,10094.4,12625.99,-2531.59,-0.3425,-0.311,7,801406.74
fractional_kelly,derivatives,NSEI,2026-04-08,OPEN_EQUALS_LOW,LONG,2026-04-08T09:15:00+05:30,23855.150391,23909.449219,23836.900391,23900.0,0.0,3.1113,2026-04-08T09:35:00+05:30,23913.900391,2026-04-08T09:40:00+05:30,23918.349609,23850.379361,24054.290107,2026-04-08T15:20:00+05:30,23998.800781,END_OF_DAY,89.435547,5.0,33,801406.74,1.0,2408.02,0.0,48084.4,789305.54,0.0,2404220.22,per_trade_allocation,kelly_warmup_fixed_percent_risk,2654.89,494.98,2159.91,0.2736,0.897,69,803566.65
fractional_kelly,equity,HDFCBANK_NS,2026-04-08,OPEN_EQUALS_LOW,LONG,2026-04-08T09:15:00+05:30,798.849976,809.349976,798.849976,807.900024,0.0,3.4646,2026-04-08T09:35:00+05:30,811.349976,2026-04-08T09:40:00+05:30,811.45,798.690206,836.969589,2026-04-08T15:20:00+05:30,816.500012,END_OF_DAY,5.017862,0.2,618,801406.74,1.0,8009.15,2408.02,48084.4,501476.1,789305.54,2404220.22,risk_budget,kelly_warmup_fixed_percent_risk,3120.91,226.03,2894.88,0.5773,0.3614,69,806461.53
fractional_kelly,equity,LT_NS,2026-04-08,OPEN_EQUALS_LOW,LONG,2026-04-08T09:15:00+05:30,3944.0,4021.199951,3944.0,4002.899902,0.0,5.9987,2026-04-08T11:45:00+05:30,4029.899902,2026-04-08T11:50:00+05:30,4031.899951,3943.2112,4209.277454,2026-04-08T15:20:00+05:30,4011.100049,END_OF_DAY,9.828561,0.2,90,801406.74,1.0,7999.99,10417.17,48084.4,362871.0,1290781.64,2404220.22,risk_budget,kelly_warmup_fixed_percent_risk,-1871.99,175.41,-2047.4,-0.5642,-0.2559,43,804414.13
