period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2024-06,30,0,0,0,391,0,215,176,339,52,0,0,14,16,0,-946.24,-31.54,-9977.87,-332.60,795732.87,2024-06-18,1629.76,24742.11,2024-06-06,-1260.27,-17731.80,6,6,4218.05,60486.57,7.4965
2024-07,31,1,2,0,293,0,148,145,245,48,0,0,16,12,0,6615.14,236.26,120686.31,4310.23,916419.10,2024-07-09,1839.35,32562.02,2024-07-21,-1732.39,-25802.78,5,4,4946.26,74755.84,7.5887
2024-08,31,0,1,0,320,0,173,147,266,54,0,0,18,12,0,4639.71,154.66,75092.93,2503.10,991511.99,2024-08-01,1655.16,25599.95,2024-08-09,-2370.68,-39151.77,5,2,3841.78,62589.43,6.6442
2024-09,30,3,0,0,337,0,166,171,282,55,0,0,16,11,0,5243.24,194.19,91575.33,3391.68,1083087.32,2024-09-09,1729.05,31591.06,2024-09-12,-1515.27,-26230.63,3,3,2373.13,40739.52,3.7892
2024-10,31,1,1,0,348,1,165,183,295,52,1,0,17,12,0,8007.12,276.11,123221.17,4249.01,1206308.37,2024-10-16,3464.92,51902.33,2024-10-30,-1500.29,-20791.47,5,2,2044.37,28292.42,2.2916
2024-11,30,0,1,0,392,0,194,198,336,56,0,0,9,20,0,-4858.25,-167.53,-47861.67,-1650.40,1158446.67,2024-11-21,3885.60,40984.81,2024-11-13,-2161.97,-24561.72,2,8,10091.10,113085.99,9.1209
2024-12,31,0,0,0,392,0,188,204,335,57,0,0,13,18,0,-4736.92,-152.80,-52277.41,-1686.37,1106169.19,2024-12-18,4503.73,42564.19,2024-12-23,-2673.91,-27987.58,2,5,9179.54,92566.81,7.7506
2025-01,31,1,2,0,361,0,184,177,305,56,0,0,13,15,0,-2078.55,-74.23,-16223.14,-579.40,1089946.13,2025-01-09,3003.02,31731.46,2025-01-18,-3554.56,-34257.18,4,4,6409.02,61749.98,5.3936
2025-02,28,1,0,0,309,0,157,152,257,52,0,0,12,15,0,5032.73,186.40,51690.51,1914.46,1141636.58,2025-02-20,2829.11,29366.35,2025-02-24,-2504.64,-26140.15,2,4,3566.64,37043.01,3.2427
2025-03,31,0,0,0,370,0,189,181,326,44,0,0,13,18,0,-7211.89,-232.64,-86821.95,-2800.71,1054814.61,2025-03-24,1805.02,21362.83,2025-03-25,-2174.40,-24848.18,3,4,11068.87,129627.62,10.9753
