trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00140,2021-06-11,2021-06-11 22:00:00+00:00,LONG,-3285.60,-47028.44,952971.56,1018599.28,65627.72,6.4429
T00141,2021-06-11,2021-06-11 22:30:00+00:00,SHORT,-949.48,-47977.91,952022.09,1018599.28,66577.19,6.5362
T00142,2021-06-12,2021-06-12 00:00:00+00:00,LONG,-2600.16,-50578.07,949421.93,1018599.28,69177.35,6.7914
T00143,2021-06-12,2021-06-12 01:00:00+00:00,LONG,-2409.76,-52987.83,947012.17,1018599.28,71587.11,7.0280
T00144,2021-06-12,2021-06-12 01:30:00+00:00,LONG,-1341.00,-54328.83,945671.17,1018599.28,72928.11,7.1596
T00145,2021-06-12,2021-06-12 19:30:00+00:00,SHORT,4543.63,-49785.20,950214.80,1018599.28,68384.48,6.7136
T00146,2021-06-12,2021-06-12 20:30:00+00:00,SHORT,-4867.74,-54652.94,945347.06,1018599.28,73252.22,7.1915
T00147,2021-06-12,2021-06-12 21:00:00+00:00,LONG,531.99,-54120.95,945879.05,1018599.28,72720.23,7.1392
T00148,2021-06-12,2021-06-12 22:00:00+00:00,LONG,-3129.76,-57250.71,942749.29,1018599.28,75849.99,7.4465
T00149,2021-06-12,2021-06-12 22:30:00+00:00,SHORT,-144.28,-57394.99,942605.01,1018599.28,75994.27,7.4607
T00150,2021-06-12,2021-06-12 23:30:00+00:00,SHORT,-1883.52,-59278.51,940721.49,1018599.28,77877.79,7.6456
T00151,2021-06-13,2021-06-13 00:00:00+00:00,LONG,-2915.35,-62193.86,937806.14,1018599.28,80793.14,7.9318
T00152,2021-06-13,2021-06-13 01:00:00+00:00,SHORT,-2737.59,-64931.44,935068.56,1018599.28,83530.72,8.2005
T00153,2021-06-13,2021-06-13 02:30:00+00:00,LONG,-3918.96,-68850.40,931149.60,1018599.28,87449.68,8.5853
T00154,2021-06-13,2021-06-13 03:00:00+00:00,LONG,-585.75,-69436.15,930563.85,1018599.28,88035.43,8.6428
