trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
98,2026-04-17T15:20:00+05:30,2026-04-17,equity,RELIANCE_NS,238.0,75642.76,-24357.24,-24.3572
99,2026-04-17T15:20:00-04:00,2026-04-17,commodities,CLF,-261.12,75381.64,-24618.36,-24.6184
100,2026-04-17T15:20:00-04:00,2026-04-17,commodities,GCF,-162.2,75219.44,-24780.56,-24.7806
101,2026-04-17T15:20:00-04:00,2026-04-17,commodities,HGF,-966.83,74252.61,-25747.39,-25.7474
102,2026-04-17T15:20:00-04:00,2026-04-17,commodities,SIF,-270.11,73982.5,-26017.5,-26.0175
103,2026-04-20T15:20:00+05:30,2026-04-20,equity,ICICIBANK_NS,-464.7,73517.8,-26482.2,-26.4822
104,2026-04-20T15:20:00+05:30,2026-04-20,equity,ITC_NS,21.05,73538.85,-26461.15,-26.4611
105,2026-04-20T15:20:00+05:30,2026-04-20,equity,SBIN_NS,520.6,74059.45,-25940.55,-25.9405
106,2026-04-20T15:20:00-04:00,2026-04-20,commodities,HGF,-879.6,73179.85,-26820.15,-26.8201
107,2026-04-21T11:50:00+05:30,2026-04-21,derivatives,CNXIT,-800.64,72379.21,-27620.79,-27.6208
108,2026-04-21T11:55:00+05:30,2026-04-21,equity,INFY_NS,-1040.04,71339.17,-28660.83,-28.6608
109,2026-04-21T15:20:00+05:30,2026-04-21,derivatives,CNXAUTO,-183.8,71155.37,-28844.63,-28.8446
110,2026-04-21T15:20:00+05:30,2026-04-21,derivatives,NSEI,148.3,71303.67,-28696.33,-28.6963
111,2026-04-21T15:20:00+05:30,2026-04-21,equity,HDFCBANK_NS,385.6,71689.27,-28310.73,-28.3107
112,2026-04-21T15:20:00+05:30,2026-04-21,equity,ITC_NS,-65.0,71624.27,-28375.73,-28.3757
113,2026-04-21T15:20:00+05:30,2026-04-21,equity,RELIANCE_NS,-134.0,71490.27,-28509.73,-28.5097
114,2026-04-21T15:20:00+05:30,2026-04-21,equity,TCS_NS,650.4,72140.67,-27859.33,-27.8593
115,2026-04-21T15:20:00-04:00,2026-04-21,commodities,GCF,847.6,72988.27,-27011.73,-27.0117
116,2026-04-21T15:20:00-04:00,2026-04-21,commodities,SIF,382.62,73370.89,-26629.11,-26.6291
117,2026-04-22T15:20:00+05:30,2026-04-22,derivatives,CNXAUTO,-60.05,73310.84,-26689.16,-26.6892
118,2026-04-22T15:20:00+05:30,2026-04-22,equity,BHARTIARTL_NS,-71.6,73239.24,-26760.76,-26.7608
119,2026-04-22T15:20:00+05:30,2026-04-22,equity,INFY_NS,195.7,73434.94,-26565.06,-26.5651
120,2026-04-22T15:20:00+05:30,2026-04-22,equity,KOTAKBANK_NS,236.5,73671.44,-26328.56,-26.3286
121,2026-04-22T15:20:00+05:30,2026-04-22,equity,LT_NS,186.3,73857.74,-26142.26,-26.1423
122,2026-04-22T15:20:00+05:30,2026-04-22,equity,SBIN_NS,148.0,74005.74,-25994.26,-25.9943
123,2026-04-22T15:20:00+05:30,2026-04-22,equity,TCS_NS,271.3,74277.04,-25722.96,-25.723
124,2026-04-22T15:20:00-04:00,2026-04-22,commodities,CLF,-23.75,74253.29,-25746.71,-25.7467
125,2026-04-22T15:20:00-04:00,2026-04-22,commodities,HGF,-765.4,73487.89,-26512.11,-26.5121
